,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.25,1.04,0.94,0.96,0.91,0.89,0.98,0.95,0.99,0.98,1.09,0.89,0.98,0.82,0.98
e_1,0.8,1.0,1.19,0.94,1.1,0.77,1.05,1.33,1.31,1.0,1.01,1.16,0.9,0.96,0.87,1.07
c_1,0.97,0.84,1.0,1.15,1.26,1.16,1.04,1.05,0.76,0.71,1.0,0.92,0.97,0.93,1.1,0.99
d_1,1.06,1.06,0.87,1.0,1.07,0.88,0.96,0.83,0.96,1.27,1.19,0.96,1.17,0.98,1.04,0.69
b_1,1.04,0.91,0.79,0.94,1.0,1.47,1.01,1.03,1.12,1.25,0.82,1.03,1.03,0.9,0.96,1.12
a_1,1.1,1.29,0.87,1.14,0.68,1.0,1.19,1.05,0.95,0.9,1.04,0.92,1.07,,0.96,0.85
h_1,1.13,0.97,1.01,1.04,0.94,0.88,1.0,1.12,0.95,0.91,0.97,0.92,1.21,0.99,0.9,1.28
g_1,1.04,0.74,0.99,1.16,0.91,0.96,0.91,1.0,0.95,0.94,0.97,1.38,0.79,1.34,1.18,1.04
d_0,1.08,0.72,1.43,1.06,0.86,1.04,0.98,1.06,1.0,0.89,0.97,1.0,1.01,0.99,0.97,1.2
c_0,1.03,0.99,1.34,0.78,0.88,1.11,1.12,1.03,1.14,1.0,1.28,0.91,1.27,1.19,1.07,1.1
b_0,1.03,1.01,1.07,0.89,1.3,0.93,1.01,1.01,1.01,0.73,1.0,1.16,1.18,1.28,1.18,1.31
f_0,1.05,0.84,1.11,0.96,0.99,1.0,1.09,0.76,0.97,1.11,0.86,1.0,1.08,0.99,1.41,1.04
h_0,1.18,1.07,0.99,0.88,0.98,0.89,0.85,1.26,0.95,0.79,0.83,0.92,1.0,0.96,0.79,1.13
a_0,1.01,1.07,1.1,0.99,1.02,,1.04,0.75,0.9,0.88,0.74,0.96,0.97,1.0,0.8,0.92
e_0,1.24,1.02,0.91,0.98,1.03,1.0,1.11,0.89,1.04,0.91,0.85,0.76,1.45,1.27,1.0,1.04
g_0,1.02,0.9,1.05,1.35,0.89,1.12,0.77,0.92,0.87,0.82,0.76,0.98,0.86,1.03,0.97,1.0
