,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,6.04,1.02,1.33,1.58,1.33,1.27,4.5,3.92,11.92,6.22,6.62,6.63,9.18,6.71,3.19,9.33
d_1,1.28,6.28,1.42,1.04,1.23,1.19,5.38,4.87,2.69,11.65,7.24,6.83,7.89,7.42,6.79,9.83
f_1,2.13,1.14,6.22,1.41,1.22,1.12,3.7,4.04,5.09,5.94,5.93,3.21,9.69,7.33,5.97,9.62
c_1,1.28,1.27,1.49,6.73,2.34,0.87,4.18,4.62,5.81,1.99,4.04,4.47,9.3,7.13,6.44,7.65
b_1,1.19,1.34,1.28,1.23,7.19,2.69,5.26,4.78,5.82,5.44,1.92,4.91,8.33,4.42,5.64,8.07
a_1,1.3,1.59,1.14,1.29,1.15,10.35,4.58,5.47,5.71,6.15,7.14,8.54,10.54,2.54,6.58,11.5
h_1,1.49,1.44,2.34,1.55,1.23,1.78,16.62,7.39,7.31,7.13,7.7,7.09,7.13,7.62,7.55,13.85
g_1,1.17,2.44,1.55,1.58,1.49,1.19,6.18,17.63,5.5,9.33,7.24,11.36,10.7,6.48,8.94,6.59
d_0,1.39,0.96,1.67,3.32,1.42,1.27,5.72,5.87,14.83,5.93,7.68,8.11,12.38,7.38,9.26,10.12
c_0,1.59,1.84,1.62,0.97,1.32,1.72,6.42,6.66,6.42,14.79,15.34,8.42,12.27,8.26,9.84,10.53
b_0,1.36,1.84,1.75,1.79,0.85,1.5,6.07,6.34,6.76,7.21,16.94,9.17,11.24,16.42,8.66,10.55
f_0,1.36,1.96,0.94,1.86,1.31,1.82,6.82,6.14,7.78,6.71,7.48,18.19,14.58,7.95,19.89,11.9
h_0,1.24,1.91,2.37,1.81,1.65,1.21,3.64,7.42,7.39,6.45,7.49,6.91,7.16,8.35,9.14,15.82
a_0,1.42,1.51,1.67,2.03,1.64,0.89,7.31,7.21,7.01,6.5,10.05,10.22,13.3,22.43,10.19,12.25
e_0,0.67,2.17,1.95,1.91,1.34,1.06,7.47,5.24,8.03,8.08,8.55,8.49,16.21,10.01,25.71,12.78
g_0,1.34,2.4,1.64,1.8,1.4,1.58,5.59,2.79,6.6,7.44,8.47,13.3,12.2,9.68,7.93,7.06
