,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.41,0.88,0.7,0.8,0.89,0.66,0.35,0.53,0.36,0.38,0.34,0.58,0.25,0.4,0.34,0.34
e_1,0.52,0.4,0.87,0.96,0.8,0.85,0.53,0.45,0.38,0.44,0.41,0.46,0.34,0.39,0.35,0.64
d_1,0.88,0.85,0.4,0.76,0.78,0.78,0.39,0.33,0.42,0.57,0.39,0.37,0.3,0.33,0.24,0.35
c_1,0.9,0.65,0.93,0.38,0.93,0.74,0.43,0.4,0.47,0.21,0.32,0.34,0.3,0.34,0.31,0.3
b_1,0.84,0.82,0.86,0.53,0.37,0.99,0.52,0.47,0.44,0.36,0.53,0.34,0.33,0.34,0.33,0.38
a_1,1.02,0.77,0.78,0.97,0.5,0.31,0.46,0.49,0.29,0.41,0.41,0.31,0.35,0.56,0.28,0.39
h_1,0.83,0.67,0.72,0.77,0.63,0.7,0.24,0.43,0.32,0.32,0.34,0.27,0.33,0.32,0.28,0.31
g_1,0.75,0.77,0.75,0.82,0.73,0.67,0.3,0.23,0.31,0.27,0.29,0.37,0.22,0.31,0.3,0.29
c_0,0.82,0.73,0.46,1.07,0.72,0.78,0.38,0.39,0.25,0.41,0.39,0.33,0.29,0.36,0.26,0.33
d_0,0.69,0.45,0.86,0.94,0.79,0.66,0.4,0.48,0.3,0.25,0.34,0.31,0.29,0.38,0.31,0.34
b_0,0.83,0.73,0.63,0.92,0.96,0.59,0.36,0.35,0.2,0.33,0.23,0.29,0.28,0.36,0.27,0.35
f_0,0.92,0.69,0.71,0.68,0.7,0.69,0.45,0.29,0.3,0.34,0.32,0.22,0.26,0.3,0.22,0.34
h_0,0.78,0.7,0.67,0.78,0.65,0.61,0.44,0.43,0.3,0.35,0.31,0.33,0.36,0.31,0.3,0.27
a_0,0.7,0.68,0.74,0.83,0.88,0.83,0.39,0.4,0.28,0.33,0.21,0.3,0.24,0.2,0.27,0.33
g_0,0.79,0.65,0.77,0.72,0.74,0.7,0.3,0.45,0.3,0.34,0.3,0.32,0.21,0.3,0.35,0.36
e_0,0.95,0.91,0.72,0.67,0.76,0.63,0.36,0.35,0.31,0.27,0.29,0.17,0.37,0.34,0.22,0.19
