,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,0.59,0.53,0.63,0.75,0.64,0.14,0.13,0.12,0.26,0.12,0.25,0.07,0.13,0.14,0.12
e_1,0.37,0.17,0.77,0.68,0.78,0.8,0.2,0.14,0.13,0.21,0.12,0.17,0.09,0.15,0.3,0.1
d_1,0.64,0.75,0.15,0.79,0.65,0.55,0.16,0.27,0.13,0.11,0.13,0.11,0.08,0.11,0.11,0.06
c_1,0.61,0.55,0.74,0.15,0.69,0.73,0.2,0.08,0.27,0.17,0.13,0.13,0.1,0.11,0.12,0.11
b_1,0.78,0.7,0.68,0.37,0.14,0.6,0.23,0.15,0.18,0.22,0.35,0.13,0.11,0.15,0.12,0.1
a_1,0.77,0.74,0.68,0.78,0.3,0.1,0.28,0.19,0.14,0.23,0.18,0.16,0.1,0.38,0.17,0.11
h_1,0.64,0.48,0.58,0.51,0.47,0.39,0.06,0.1,0.11,0.15,0.12,0.1,0.12,0.11,0.1,0.07
d_0,0.48,0.29,1.05,0.62,0.56,0.44,0.15,0.06,0.12,0.14,0.12,0.12,0.08,0.1,0.13,0.09
c_0,0.53,0.66,0.25,0.86,0.59,0.46,0.16,0.23,0.06,0.16,0.12,0.1,0.07,0.11,0.1,0.08
g_1,0.66,0.54,0.55,0.53,0.49,0.44,0.11,0.12,0.11,0.04,0.11,0.1,0.06,0.09,0.11,0.09
b_0,0.59,0.51,0.41,0.8,0.88,0.47,0.13,0.12,0.06,0.15,0.05,0.1,0.08,0.08,0.1,0.09
f_0,1.24,0.51,0.43,0.6,0.5,0.42,0.15,0.12,0.12,0.09,0.09,0.04,0.07,0.08,0.1,0.04
h_0,0.52,0.51,0.45,0.6,0.48,0.43,0.24,0.12,0.1,0.12,0.12,0.1,0.14,0.1,0.09,0.08
a_0,0.52,0.43,0.47,0.53,0.73,0.86,0.15,0.11,0.11,0.13,0.05,0.1,0.08,0.04,0.12,0.07
e_0,0.99,0.77,0.45,0.48,0.64,0.39,0.13,0.12,0.09,0.11,0.09,0.05,0.08,0.1,0.03,0.07
g_0,0.59,0.53,0.47,0.6,0.58,0.37,0.11,0.12,0.1,0.2,0.1,0.1,0.06,0.09,0.12,0.1
