,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,2.72,0.68,0.58,0.75,0.61,0.54,1.0,0.85,1.6,0.7,0.96,0.91,0.92,0.82,0.83,0.62
f_1,1.11,2.8,0.53,0.58,0.47,0.55,0.88,0.83,0.95,0.97,0.97,0.38,0.8,0.78,0.75,0.8
d_1,0.56,0.68,3.1,0.45,0.64,0.54,0.89,0.96,0.44,1.78,1.1,1.03,1.08,1.04,1.01,0.95
c_1,0.58,0.58,0.66,3.09,1.07,0.57,0.86,0.84,0.8,0.38,0.57,0.83,1.01,0.96,1.05,0.87
b_1,0.53,0.62,0.65,0.64,3.37,1.11,0.66,0.69,0.91,0.98,0.47,1.03,1.08,0.99,0.8,1.05
a_1,0.59,0.66,0.56,0.69,0.66,4.95,0.97,0.99,0.86,0.64,1.03,0.97,0.99,0.93,0.5,0.91
h_1,0.63,0.95,0.82,0.74,0.69,0.59,2.96,1.38,0.87,1.06,1.28,1.47,0.69,1.62,1.18,1.34
g_1,0.68,0.68,1.18,0.77,0.57,0.6,1.15,3.64,0.75,1.14,0.99,2.04,1.16,0.7,1.26,1.21
d_0,0.74,0.83,0.32,1.45,0.75,0.66,1.05,1.12,2.2,0.77,1.25,1.31,1.17,1.08,1.19,1.27
c_0,0.81,0.68,0.94,0.51,0.48,0.78,1.3,1.26,1.19,2.56,2.53,1.46,1.12,1.5,1.41,1.12
b_0,0.68,0.8,0.9,0.9,0.46,0.62,1.33,1.13,1.14,0.97,2.88,1.09,1.3,1.42,2.61,1.22
f_0,0.58,0.44,0.91,0.83,0.71,0.77,0.99,1.27,1.17,1.32,1.18,2.79,1.31,1.63,1.48,2.8
h_0,0.75,1.21,0.74,0.78,0.69,0.71,0.71,1.45,1.13,1.07,1.15,1.03,0.74,1.64,1.29,1.04
g_0,0.65,0.75,1.36,0.77,0.76,0.7,1.12,0.64,0.95,1.01,1.18,1.68,1.18,0.74,0.88,1.06
a_0,0.73,0.79,0.76,0.87,0.68,0.53,1.17,1.02,1.15,1.39,1.39,1.12,1.46,1.27,3.62,1.04
e_0,0.33,0.75,0.82,0.93,0.8,0.77,1.4,1.09,1.19,1.25,1.25,1.34,1.2,1.39,1.26,3.89
