,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,2.3,0.68,0.66,0.51,0.44,0.51,0.88,0.76,2.01,1.15,1.13,0.93,0.95,1.34,0.52,1.4
f_1,1.08,2.38,0.6,0.49,0.46,0.37,0.76,0.84,1.16,1.18,1.11,0.4,0.86,1.48,0.78,1.1
c_1,0.49,0.54,2.43,0.5,0.97,0.41,1.02,0.91,1.16,0.89,0.4,1.28,1.04,1.38,0.92,1.37
d_1,0.48,0.57,0.49,2.47,0.53,0.47,1.24,1.13,0.71,1.54,2.18,1.22,0.98,1.23,1.12,1.16
b_1,0.56,0.58,0.52,0.52,2.57,0.93,1.07,0.78,1.0,0.46,1.13,0.94,0.72,1.61,0.85,1.35
a_1,0.57,0.6,0.56,0.64,0.5,2.91,1.4,1.02,1.11,1.14,1.09,0.95,0.59,1.57,0.92,1.23
h_1,0.65,1.06,0.57,0.7,0.69,0.44,3.14,1.57,1.35,1.39,1.43,1.12,1.2,1.21,1.38,2.03
g_1,0.62,0.63,0.68,1.11,0.57,0.39,1.24,3.36,1.13,1.4,1.29,2.05,0.97,1.63,1.5,1.03
d_0,0.66,0.74,1.32,0.38,0.71,0.51,1.18,0.99,2.65,1.51,0.98,1.21,1.21,1.89,1.22,1.43
b_0,0.73,0.69,0.72,0.83,0.3,0.46,1.3,1.19,1.28,2.98,1.81,1.55,2.87,2.04,1.36,1.63
c_0,0.79,0.78,0.45,0.78,0.46,0.58,1.27,1.11,1.56,2.9,2.81,1.5,1.47,1.89,1.36,1.6
f_0,0.6,0.45,0.79,0.74,0.81,0.48,1.29,1.24,1.41,1.63,1.39,3.15,1.57,1.99,2.83,1.56
a_0,0.68,0.77,0.67,0.83,0.71,0.32,1.16,1.15,1.52,1.61,1.51,1.25,3.11,2.39,1.36,2.17
h_0,0.74,1.07,0.71,0.78,0.56,0.48,0.82,1.54,1.19,1.32,1.29,1.3,1.35,1.14,1.03,1.84
e_0,0.53,0.84,0.8,0.7,0.57,0.4,1.24,1.12,1.4,1.63,1.52,1.62,1.65,2.08,3.23,2.01
g_0,0.76,0.56,0.66,1.19,0.56,0.47,1.09,0.66,1.28,1.76,1.39,2.18,1.39,1.64,1.26,1.28
