,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.95,0.44,0.56,0.41,0.37,0.28,0.31,0.45,0.24,0.26,0.28,0.29,0.27,0.22,0.16,0.23
f_1,0.73,0.94,0.43,0.44,0.36,0.24,0.24,0.3,0.25,0.27,0.28,0.17,0.22,0.2,0.15,0.23
c_1,0.43,0.51,0.94,0.48,0.67,0.26,0.27,0.24,0.23,0.13,0.18,0.23,0.26,0.2,0.19,0.22
d_1,0.5,0.5,0.35,0.95,0.43,0.31,0.29,0.24,0.28,0.46,0.32,0.27,0.26,0.24,0.22,0.21
b_1,0.47,0.49,0.41,0.44,0.94,0.63,0.33,0.29,0.28,0.31,0.19,0.25,0.32,0.19,0.23,0.24
a_1,0.56,0.65,0.63,0.53,0.33,0.94,0.38,0.33,0.26,0.29,0.39,0.29,0.3,0.16,0.26,0.28
h_1,0.64,1.03,0.81,0.74,0.61,0.44,0.76,0.39,0.46,0.36,0.42,0.31,0.38,0.3,0.34,0.46
d_0,0.69,0.75,1.28,0.43,0.72,0.51,0.58,0.67,0.42,0.33,0.41,0.4,0.45,0.28,0.35,0.35
g_1,0.79,0.69,0.72,1.09,0.61,0.45,0.48,0.41,0.75,0.46,0.47,0.57,0.37,0.31,0.35,0.3
c_0,1.03,0.85,0.75,0.69,0.51,0.52,0.56,0.58,0.46,0.66,0.72,0.39,0.44,0.38,0.32,0.37
b_0,0.87,0.76,1.0,0.81,0.51,0.41,0.53,0.51,0.42,0.41,0.67,0.42,0.43,0.61,0.41,0.42
f_0,0.75,0.8,0.86,0.78,0.71,0.57,0.65,0.53,0.46,0.56,0.53,0.67,0.49,0.38,0.69,0.4
h_0,0.79,1.25,0.83,0.92,0.59,0.49,0.47,0.48,0.59,0.52,0.51,0.48,0.41,0.4,0.4,0.52
a_0,0.97,0.89,0.89,0.96,0.78,0.34,0.58,0.6,0.5,0.54,0.42,0.46,0.48,0.63,0.42,0.45
e_0,0.73,1.19,1.03,0.85,0.73,0.56,0.66,0.54,0.54,0.57,0.51,0.39,0.56,0.4,0.64,0.47
g_0,0.79,0.94,0.88,1.27,0.7,0.56,0.51,0.49,0.42,0.57,0.55,0.65,0.55,0.43,0.44,0.4
