,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.15,90.76,114.43,93.97,110.8,106.45,20.39,15.7,22.68,14.27,,18.75,10.14,21.3,18.27,7.93
f_1,91.66,1.15,95.36,96.91,65.95,68.68,18.17,27.77,20.68,19.03,16.83,,12.39,17.04,20.1,13.12
e_1,102.44,47.25,1.15,70.48,89.35,92.57,30.96,32.82,19.53,20.93,14.09,20.19,12.74,28.4,,17.95
c_1,120.1,143.71,104.03,1.15,120.43,92.57,22.0,26.74,,20.26,9.04,19.44,13.12,23.67,19.14,17.95
b_1,102.44,104.52,92.78,83.81,1.15,177.42,29.86,25.79,31.95,,27.55,16.94,15.93,28.4,,13.12
a_1,158.32,118.93,137.32,258.42,61.56,1.16,44.0,48.13,28.12,48.31,37.88,32.81,22.3,,28.71,22.73
h_1,102.44,90.76,98.09,88.6,89.35,81.88,2.0,34.38,20.68,19.62,18.94,18.75,,15.21,21.16,13.64
g_1,116.1,137.96,132.04,119.27,153.89,177.42,21.44,2.0,20.09,23.26,26.35,18.75,14.87,22.42,17.48,
c_0,46.44,95.81,100.97,,81.47,92.57,24.59,27.77,2.88,15.32,23.31,22.83,11.74,22.42,19.14,11.76
b_0,116.1,84.12,127.15,140.95,,96.77,28.83,28.88,10.19,2.96,25.25,21.0,9.49,26.62,25.12,14.83
d_0,,101.44,43.46,67.41,131.9,101.38,44.0,28.88,29.29,17.44,3.22,26.25,13.94,25.06,25.12,12.18
f_0,102.44,,149.26,110.75,153.89,152.07,34.83,24.07,19.53,20.93,22.44,3.12,16.52,18.52,,9.47
h_0,87.08,149.96,92.78,96.91,83.94,60.83,,19.0,17.58,20.93,16.38,18.75,,17.04,16.75,14.21
a_0,193.5,181.53,228.87,155.05,125.91,,44.0,40.11,28.12,18.47,27.55,43.75,24.78,2.88,,28.42
e_0,165.86,191.61,,182.41,,163.77,49.18,51.57,35.15,41.87,31.89,,17.15,,2.85,21.31
g_0,133.96,114.97,163.48,103.37,162.94,193.55,22.0,,25.11,31.4,26.35,25.0,14.39,15.21,23.65,
