,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.12,2.49,4.68,5.22,4.58,4.68,1.45,0.96,1.0,1.45,0.97,1.12,0.84,0.72,2.0,0.8
f_1,4.25,1.12,4.83,3.49,5.02,4.13,1.09,1.12,0.92,1.6,0.97,1.9,0.84,0.5,0.98,0.83
c_1,3.83,4.87,1.12,6.08,4.48,4.74,1.67,0.52,1.84,1.37,1.08,0.94,0.86,0.65,0.76,0.7
d_1,6.46,6.33,4.9,1.12,4.76,4.27,1.06,2.14,0.92,0.8,0.84,0.89,1.12,0.66,0.91,0.42
b_1,5.6,6.34,2.88,5.58,1.13,5.86,1.56,1.23,1.31,1.87,2.44,1.3,1.29,0.94,0.92,0.85
a_1,9.58,8.79,10.59,9.3,4.13,1.14,2.24,1.93,1.46,2.82,1.55,2.21,7.89,1.22,1.69,1.09
h_1,16.23,16.78,14.11,13.32,13.33,13.16,1.75,3.71,3.17,4.27,3.04,2.88,2.86,3.67,3.12,2.17
d_0,9.45,16.95,20.46,33.66,16.4,20.36,5.77,2.16,3.95,6.15,4.18,3.41,3.29,2.85,3.66,2.92
c_0,19.79,18.28,37.25,9.96,20.13,19.15,5.04,5.35,2.22,4.82,4.37,3.47,3.77,3.26,5.07,2.42
g_1,21.7,22.71,18.02,16.23,22.45,18.42,3.73,4.78,3.44,1.76,3.37,3.89,3.12,2.1,4.3,4.26
b_0,18.57,22.13,27.17,20.63,39.45,21.25,5.97,4.25,2.35,5.58,2.23,3.41,4.18,2.77,4.47,2.7
f_0,18.1,51.09,23.68,21.9,23.17,20.57,6.85,5.05,4.07,3.96,5.13,2.1,4.27,3.11,4.53,2.19
a_0,25.01,30.47,32.82,29.34,38.92,47.17,8.96,6.38,5.3,8.7,3.01,5.79,2.4,4.62,5.76,4.91
h_0,30.53,29.19,31.27,31.35,33.55,23.3,12.76,6.38,6.11,8.27,6.78,6.25,5.81,5.99,5.15,4.0
e_0,51.46,53.45,33.48,42.64,38.41,25.79,9.57,7.27,7.43,10.15,7.56,3.5,7.21,4.9,2.5,4.98
g_0,36.76,41.86,43.05,39.0,35.17,33.34,7.39,9.57,7.69,16.34,7.2,7.94,7.6,4.38,8.1,7.9
