,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.41,0.63,0.7,0.82,0.71,0.8,1.5,1.57,1.79,2.97,1.85,1.95,2.13,1.55,0.99,2.5
f_1,1.23,2.44,0.82,0.77,0.64,0.64,1.34,1.34,1.67,1.56,1.78,0.9,1.84,1.55,1.35,1.63
d_1,0.77,0.81,2.45,0.68,0.66,0.69,1.81,1.43,2.51,0.87,1.87,1.96,1.88,1.51,1.71,1.82
c_1,0.8,0.77,0.61,2.57,1.34,0.57,1.28,1.66,0.68,1.49,1.64,1.53,2.13,1.87,1.68,1.97
b_1,0.69,0.95,0.76,0.69,2.8,1.52,1.27,1.35,1.58,1.54,0.61,1.34,1.84,1.43,1.54,1.67
a_1,0.73,0.7,0.88,0.91,0.56,3.48,1.93,1.46,1.56,1.97,1.41,1.75,3.06,0.84,1.47,2.56
h_1,0.93,1.34,1.02,1.03,1.07,0.71,3.78,2.24,2.12,1.8,2.38,1.73,1.47,2.44,2.09,3.58
g_1,0.75,0.9,1.57,0.84,1.01,0.9,1.83,4.21,2.34,1.7,1.78,3.21,2.81,2.39,2.19,1.95
c_0,0.99,1.14,1.06,0.77,0.88,1.14,1.95,2.1,3.61,2.23,3.4,2.43,3.07,2.5,2.38,3.2
d_0,0.77,1.05,0.39,1.87,1.04,0.94,2.0,1.86,2.13,3.66,2.02,2.56,2.65,2.63,2.61,2.94
b_0,1.12,1.12,0.93,0.98,0.74,0.94,1.97,2.06,1.98,2.46,3.85,2.58,3.4,4.28,3.19,2.84
f_0,0.84,0.57,1.09,1.24,0.94,0.99,2.3,1.81,2.36,2.52,2.44,4.06,3.09,3.0,4.85,2.38
h_0,0.92,1.47,1.12,0.95,1.02,0.77,1.46,2.27,1.9,2.1,1.78,2.27,1.71,2.28,2.66,3.45
a_0,1.17,1.07,1.33,1.0,1.07,,1.57,1.68,2.09,1.74,1.6,1.84,3.06,4.53,2.43,2.46
e_0,0.54,1.19,1.09,1.15,1.14,1.07,1.96,2.06,2.41,2.41,2.28,2.07,2.64,2.79,4.84,3.6
g_0,0.78,1.12,1.34,0.96,1.19,0.76,1.8,1.35,1.86,2.21,2.25,3.21,2.49,2.67,1.96,1.89
