,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.5,1.04,0.59,0.65,0.59,0.51,0.71,0.73,0.69,0.79,0.77,0.45,0.66,0.78,0.47,0.69
e_1,0.7,1.52,0.68,0.79,0.58,0.52,0.8,0.84,0.82,1.3,0.85,0.8,0.75,0.87,0.48,0.75
d_1,0.8,0.68,1.53,0.71,0.56,0.54,0.78,0.66,1.21,0.51,0.83,0.73,0.68,0.8,0.69,0.74
c_1,0.75,0.59,0.63,1.57,1.18,0.5,0.82,0.69,0.47,0.61,0.68,0.75,0.69,0.86,0.65,0.88
b_1,0.75,0.71,0.82,0.53,1.6,0.91,0.94,0.77,0.88,0.77,0.57,0.89,0.65,0.84,0.77,0.71
a_1,0.76,0.71,0.89,0.84,0.62,1.77,0.92,0.7,0.81,0.82,0.8,0.78,0.62,0.93,0.84,1.08
h_1,1.15,0.91,0.93,0.89,0.76,0.68,1.71,1.11,0.91,0.99,1.04,1.02,0.93,1.03,0.8,1.27
g_1,0.8,0.85,1.28,0.91,0.76,0.8,1.0,1.81,1.22,1.08,1.04,1.4,0.92,1.11,1.12,0.72
c_0,1.2,0.95,0.87,0.64,0.77,0.78,1.13,0.93,1.62,1.26,1.77,1.09,1.13,1.21,0.98,1.12
d_0,1.0,0.78,0.77,1.53,0.82,0.8,1.11,1.06,0.83,1.61,0.99,1.15,0.98,1.13,0.98,0.98
b_0,1.03,0.92,1.02,1.08,0.66,0.57,1.26,1.08,0.94,1.31,1.68,1.11,1.63,1.46,1.1,1.2
f_0,0.95,0.89,1.17,0.96,0.86,0.78,1.2,0.91,1.06,1.01,1.18,1.68,0.98,1.32,1.55,1.01
a_0,1.07,1.05,1.12,1.14,0.88,0.37,1.26,1.19,1.19,1.17,0.85,1.13,1.71,1.53,1.14,1.14
h_0,1.28,0.92,1.16,1.03,0.91,0.73,0.71,1.29,1.16,1.16,0.89,1.09,0.87,0.87,0.89,1.32
e_0,1.4,0.7,1.12,1.04,0.99,0.58,1.36,0.9,1.22,1.1,1.09,1.0,0.95,1.51,1.8,1.16
g_0,1.03,0.93,1.44,0.96,1.1,0.77,1.06,0.75,1.21,1.13,1.1,1.61,1.14,1.15,1.03,0.83
