,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.66,1.14,0.94,1.25,0.92,0.91,0.37,0.49,0.4,0.34,0.39,0.47,0.26,0.34,0.3,0.31
e_1,0.74,0.65,1.13,1.25,1.19,0.95,0.44,0.53,0.45,0.38,0.43,0.48,0.34,0.44,0.48,0.31
d_1,1.27,1.26,0.64,1.11,0.91,0.95,0.5,0.35,0.61,0.44,0.41,0.37,0.3,0.32,0.33,0.22
c_1,1.03,0.89,1.36,0.64,1.42,0.93,0.53,0.48,0.28,0.48,0.36,0.42,0.31,0.35,0.34,0.33
b_1,1.36,1.22,1.29,0.7,0.62,1.27,0.57,0.55,0.41,0.59,0.53,0.42,0.38,0.44,0.4,0.4
a_1,1.65,1.47,1.28,1.44,0.82,0.56,0.75,0.67,0.59,0.56,0.69,0.44,0.42,0.68,0.45,0.43
h_1,1.85,1.8,1.74,1.58,1.54,1.43,0.56,0.84,0.69,0.56,0.58,0.55,0.56,0.52,0.56,0.54
g_1,2.0,1.84,2.02,1.95,1.72,1.58,0.69,0.54,0.66,0.64,0.63,0.75,0.46,0.56,0.71,0.47
d_0,1.8,1.27,2.24,2.22,2.2,1.59,0.83,0.98,0.57,0.66,0.62,0.68,0.58,0.65,0.71,0.58
c_0,2.47,2.4,1.25,2.97,1.86,1.56,1.1,0.81,1.02,0.55,0.84,0.62,0.62,0.73,0.78,0.55
b_0,2.14,1.85,1.7,2.89,2.57,1.71,1.0,0.85,0.85,0.44,0.53,0.74,0.64,0.74,0.69,0.57
f_0,2.6,1.85,2.0,2.15,2.16,2.16,1.09,0.64,0.86,0.81,0.76,0.53,0.61,0.63,0.92,0.42
h_0,2.68,2.12,2.24,2.39,1.86,1.79,1.1,1.01,0.87,0.72,0.72,0.75,0.82,0.69,0.73,0.65
a_0,2.55,2.13,2.38,2.4,2.12,2.12,1.09,1.04,0.99,0.78,0.51,0.74,0.63,0.54,0.75,0.61
e_0,3.66,2.69,2.27,2.48,2.05,2.32,1.08,0.76,0.84,0.75,0.8,0.46,0.6,0.74,0.53,0.58
g_0,2.65,2.47,2.63,2.44,2.29,2.13,0.93,1.29,1.0,0.99,0.86,0.96,0.57,0.81,0.82,0.84
