,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.41,0.63,0.87,0.93,0.84,0.99,0.48,0.51,0.52,0.41,0.46,0.5,0.44,0.4,0.35,0.87
f_1,0.9,0.41,0.82,0.83,0.8,0.94,0.39,0.66,0.41,0.36,0.38,0.57,0.4,0.24,0.41,0.3
d_1,1.01,0.85,0.4,0.89,0.85,0.83,0.51,0.35,0.55,0.41,0.44,0.35,0.35,0.32,0.25,0.35
c_1,0.8,0.88,1.01,0.39,1.07,0.67,0.46,0.41,0.24,0.53,0.37,0.34,0.41,0.35,0.38,0.38
b_1,0.98,1.06,0.87,0.54,0.36,1.07,0.45,0.47,0.41,0.45,0.66,0.5,0.43,0.34,0.31,0.32
a_1,0.94,0.86,0.87,1.25,0.54,0.29,0.69,0.44,0.44,0.38,0.39,0.39,0.67,0.36,0.34,0.43
h_1,0.81,0.75,0.73,0.78,0.84,0.6,0.25,0.46,0.39,0.39,0.37,0.31,0.36,0.48,0.37,0.36
g_1,0.71,0.8,0.79,0.93,0.87,0.8,0.35,0.24,0.35,0.37,0.31,0.34,0.33,0.25,0.33,0.36
d_0,0.49,0.81,1.24,0.93,0.88,0.75,0.43,0.49,0.26,0.35,0.36,0.35,0.34,0.33,0.3,0.34
c_0,0.7,0.97,0.5,1.34,0.87,0.79,0.4,0.43,0.48,0.25,0.43,0.37,0.38,0.32,0.29,0.38
b_0,0.72,0.77,0.63,1.03,1.12,0.76,0.4,0.47,0.37,0.23,0.24,0.35,0.41,0.37,0.36,0.35
f_0,0.68,1.25,0.82,0.83,0.8,0.74,0.44,0.3,0.35,0.32,0.32,0.23,0.36,0.36,0.2,0.39
a_0,0.77,0.75,0.78,0.81,0.84,1.18,0.41,0.48,0.41,0.31,0.23,0.33,0.21,0.25,0.28,0.43
h_0,0.63,0.97,0.76,0.75,0.77,0.66,0.46,0.49,0.36,0.34,0.32,0.31,0.39,0.43,0.31,0.32
g_0,0.72,0.69,0.88,0.73,0.9,0.73,0.34,0.54,0.38,0.37,0.31,0.39,0.31,0.23,0.36,0.33
e_0,0.73,1.18,0.87,0.84,0.78,0.61,0.4,0.39,0.33,0.36,0.35,0.2,0.27,0.28,0.27,0.2
