,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,2.15,0.04,0.03,0.02,0.03,0.02,0.05,0.12,0.05,0.06,0.04,0.05,0.08,0.06,,0.05
f_1,0.06,2.16,0.03,0.03,0.03,0.02,0.05,0.06,0.06,0.04,0.04,,0.07,0.06,0.05,0.07
c_1,0.04,0.03,2.32,0.03,0.05,0.02,0.07,0.06,,0.03,0.04,0.05,0.07,0.03,0.07,0.08
d_1,0.03,0.03,0.01,2.41,0.03,0.03,0.07,,0.1,0.08,0.04,0.06,0.09,0.05,0.06,0.08
b_1,0.03,0.03,0.03,0.04,2.55,0.04,0.06,0.09,0.05,,0.03,0.05,0.06,0.04,0.04,0.07
a_1,0.02,0.03,0.03,0.02,0.02,3.06,0.06,0.09,0.07,,0.04,0.06,0.12,,0.06,0.05
h_1,0.13,0.17,0.12,0.11,0.08,0.08,2.73,0.25,0.2,0.18,0.18,0.24,,0.16,0.2,0.34
d_0,0.19,0.13,0.31,,0.12,0.08,0.26,1.97,0.35,0.3,0.23,0.21,0.36,0.22,,0.38
c_0,0.17,0.2,,0.18,0.12,0.06,0.28,0.33,2.1,0.42,0.19,0.27,0.44,0.29,0.24,0.31
b_0,0.23,0.16,0.14,0.14,,,0.29,0.33,0.33,2.37,0.22,0.24,0.38,0.4,,0.35
g_1,0.09,0.1,0.09,0.17,0.09,0.09,0.25,0.23,0.25,0.26,3.45,0.27,0.26,,0.18,
f_0,0.1,,0.13,0.11,0.1,0.13,0.25,0.43,0.38,0.36,0.27,2.44,0.49,0.28,0.42,0.32
h_0,0.2,0.28,0.28,0.25,0.13,0.22,,0.45,0.59,0.48,0.42,0.35,,0.36,0.33,0.61
a_0,0.12,0.14,0.15,0.17,0.14,,0.24,0.38,0.29,0.34,,0.34,0.32,2.67,0.25,0.34
e_0,,0.21,0.12,0.15,0.14,0.13,0.32,,0.41,,0.27,0.34,0.51,0.26,2.77,0.26
g_0,0.16,0.17,0.26,0.29,0.25,0.13,0.44,0.42,0.59,0.32,,0.65,0.63,0.34,0.3,
