,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,0.9,1.23,0.98,0.87,0.77,0.56,0.66,0.58,0.64,0.59,0.53,0.52,0.52,0.47,0.53
d_1,1.09,1.0,1.05,0.91,0.88,0.77,0.7,0.56,0.86,0.65,0.74,0.59,0.58,0.59,0.57,0.44
e_1,0.82,0.95,1.0,1.13,1.0,0.86,0.8,0.73,0.66,0.9,0.62,0.71,0.64,0.59,0.64,0.72
c_1,1.02,1.09,0.89,1.0,1.29,0.86,0.66,0.67,0.63,0.5,0.59,0.63,0.63,0.59,0.55,0.65
b_1,1.13,1.17,0.99,0.77,1.0,1.34,0.84,0.71,0.75,0.68,0.61,0.7,0.65,0.6,0.63,0.61
a_1,1.31,1.31,1.16,1.15,0.77,1.0,0.88,0.93,0.71,0.74,0.9,0.76,0.81,0.68,0.74,0.66
h_1,1.81,1.44,1.23,1.48,1.23,1.05,1.0,1.11,0.82,0.84,0.76,0.81,0.89,0.73,0.76,0.88
g_1,1.48,1.81,1.39,1.5,1.45,1.11,0.91,1.0,0.95,0.86,0.83,1.06,0.79,1.0,0.87,0.85
c_0,1.68,1.18,1.56,1.73,1.32,1.37,1.21,1.05,1.0,1.22,1.32,0.92,1.02,1.03,0.91,0.89
d_0,1.57,1.54,1.1,2.07,1.51,1.3,1.13,1.21,0.77,1.0,0.85,1.01,0.94,0.92,0.94,1.0
b_0,1.69,1.41,1.58,1.78,1.65,1.2,1.26,1.18,0.78,1.14,1.0,0.93,0.99,1.38,0.96,0.92
f_0,1.86,1.64,1.46,1.66,1.42,1.35,1.16,0.92,1.06,0.98,1.05,1.0,1.15,1.02,1.3,0.78
h_0,1.94,1.66,1.63,1.6,1.51,1.24,1.1,1.31,0.99,1.06,1.05,0.91,1.0,0.91,0.91,1.12
a_0,1.87,1.64,1.63,1.68,1.67,1.46,1.35,1.12,1.05,1.05,0.78,1.06,1.15,1.0,1.04,0.99
e_0,2.06,1.72,1.49,1.82,1.63,1.37,1.27,1.1,1.1,1.05,1.06,0.78,1.1,0.96,1.0,0.92
g_0,1.98,2.18,1.46,1.49,1.59,1.45,1.11,1.18,1.12,0.95,1.11,1.23,0.92,1.07,1.05,1.0
