,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.37,1.26,0.73,0.74,0.72,0.68,1.4,1.41,1.47,1.43,1.78,0.79,2.02,1.1,1.68,2.14
e_1,0.68,2.43,0.76,0.89,0.62,0.77,1.59,1.65,1.53,2.9,1.96,1.94,2.06,1.16,1.74,2.13
d_1,0.82,0.69,2.44,0.74,0.89,0.8,1.44,1.19,3.04,0.73,1.74,1.65,1.82,1.91,1.4,1.61
c_1,0.8,0.72,0.7,2.66,1.26,0.74,1.41,1.57,0.77,1.47,1.6,1.59,2.05,1.75,1.48,1.96
b_1,0.85,0.75,0.82,0.6,2.69,1.23,1.46,1.58,1.48,1.88,0.98,1.94,2.11,1.68,1.44,1.91
a_1,0.89,0.61,0.77,0.87,0.6,3.42,1.65,1.32,2.02,1.85,1.93,1.5,2.31,1.89,,2.2
h_1,1.2,0.9,1.05,1.1,1.01,0.98,3.83,2.09,1.76,2.02,1.89,2.66,1.86,1.78,2.52,3.76
g_1,1.02,0.85,1.56,0.91,0.92,0.87,1.86,4.21,1.69,1.53,2.25,3.18,2.3,2.07,2.36,1.68
c_0,1.21,1.13,0.88,0.59,1.04,0.86,2.21,2.24,3.67,2.38,3.75,2.52,2.98,2.39,2.72,3.29
d_0,1.18,0.81,0.71,1.78,0.98,0.98,2.06,2.27,1.76,3.78,2.17,2.01,2.85,2.81,2.29,3.0
b_0,1.01,1.11,1.04,1.15,0.62,0.82,2.46,2.06,1.81,2.74,3.82,2.43,3.4,2.51,4.29,2.57
f_0,0.63,0.86,1.25,1.18,1.04,0.93,1.63,1.73,2.27,2.61,2.34,4.0,3.48,4.39,2.55,2.85
h_0,1.31,1.12,1.12,1.08,0.73,0.81,1.12,2.48,2.1,2.1,2.12,2.02,1.66,1.74,2.48,3.14
e_0,1.46,0.51,1.11,0.97,1.02,1.1,2.78,1.88,2.59,1.86,2.25,1.54,3.67,4.78,2.66,2.9
a_0,1.06,0.86,1.22,1.04,1.07,,1.9,2.11,2.52,2.11,2.08,2.13,2.92,2.66,4.68,3.61
g_0,0.7,0.97,1.47,1.12,0.99,1.02,1.61,1.48,2.21,1.88,2.36,3.01,2.83,2.24,2.38,1.91
