,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,13647.24,2321.38,3681.56,5949.95,4963.49,20899.3,2771248.37,5957619.39,10823183.93,25362308.02,26076176.68,31070343.25,103323694.61,34508690.72,78630516.7,147700471.19
d_1,3020.72,14309.16,3147.65,3745.77,5124.69,20787.42,2706495.97,6097595.24,23029268.33,4023651.86,27163311.72,34186038.23,109855571.92,105108824.06,96411876.44,211308583.86
f_1,5190.99,3333.69,15289.49,3893.04,4547.36,15970.91,2716794.82,6430214.42,10177852.27,12395086.29,6789035.97,27942894.01,89637708.07,56004699.19,103179828.69,181812854.14
c_1,2160.12,2740.03,3245.38,24780.47,10600.29,19029.5,2474943.87,5365035.29,4275565.61,13287973.4,22631732.5,16914865.99,118709285.43,90275110.58,74720014.6,228460416.28
b_1,2705.09,2508.15,2950.19,4595.09,30915.66,48789.88,2541899.29,5762825.83,7976196.11,11878090.44,21992246.53,8369823.1,127448617.44,92937459.71,69412665.22,184995478.85
a_1,2701.03,3139.73,3238.58,5866.28,5718.25,169877.54,2154458.09,7152117.56,9685855.33,11934216.54,19985921.74,36117701.48,99560206.8,112598476.63,31937022.46,188883799.74
h_1,2918.52,4020.97,5279.03,6415.33,6270.55,22323.62,8212884.0,9182692.33,13146392.52,13206252.48,27940394.58,38950940.21,84035351.32,110464223.68,105576426.18,306524461.67
g_1,3202.15,6463.4,3326.74,3444.01,5936.19,28100.98,3291234.81,25077983.33,16287724.78,11387439.56,39575629.71,39390228.7,107739373.93,119411800.88,102352972.18,126023138.65
c_0,3465.03,4496.94,4717.18,3062.2,5605.18,25213.33,3655674.29,8056669.3,30543901.7,13512231.95,30798494.91,74187946.53,129338359.64,106203995.24,146030493.45,248453024.97
d_0,3509.64,1319.46,3941.1,12401.63,7416.63,18802.97,3515044.47,5971472.5,8062591.94,34690674.73,23531416.76,35872647.74,154029930.79,95432116.17,110428591.56,199193467.01
f_0,2857.31,4287.12,2736.73,5141.61,7124.86,24800.0,3847676.4,9096054.29,15867877.82,15078925.91,69796457.96,42408694.57,160358897.48,283616898.76,120654702.79,254669709.81
b_0,3063.91,5357.68,4476.09,6324.78,2702.09,17305.86,3327033.36,8341915.1,13345222.86,14472605.46,27484886.63,90901163.82,170284399.84,119803036.8,256245384.26,234921276.18
h_0,2977.8,4120.5,5756.56,6781.49,5820.76,31463.69,1553216.43,11238126.44,13152603.9,16778290.15,25827255.49,34872835.85,94941900.18,109640006.85,145483855.24,342680565.4
e_0,1608.52,4533.75,5242.58,5418.48,5969.25,31259.38,3926060.18,8222520.88,12267164.89,13604987.53,26474134.8,37946044.95,177870743.61,333567242.19,100947981.19,248586458.39
a_0,3609.37,4084.46,4890.14,5846.26,6236.53,9923.61,3887569.4,7527659.96,12800519.89,13604987.53,33398139.29,39595872.99,170684046.9,120698673.16,342345327.51,262997267.57
g_0,2685.92,6178.93,3210.7,7164.13,6591.4,27942.66,3017677.63,4092176.23,12367826.26,12108067.1,39577540.81,40079202.89,134907456.01,126008796.6,104199581.81,127302246.75
