,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,2.66,0.66,0.55,0.7,0.62,0.57,0.97,0.96,1.77,0.83,0.98,0.96,1.07,1.09,0.56,0.72
f_1,1.11,2.74,0.59,0.59,0.55,0.43,0.81,0.75,0.8,0.71,0.36,0.84,0.85,0.66,0.69,0.94
d_1,0.63,0.6,3.09,0.45,0.58,0.67,0.8,1.03,0.44,1.85,1.1,1.13,1.08,0.88,1.05,0.98
c_1,0.52,0.68,0.59,3.32,1.07,0.46,0.8,0.72,0.84,0.3,0.9,0.68,1.04,0.98,1.05,0.98
b_1,0.56,0.65,0.53,0.64,3.52,1.14,0.99,0.95,0.87,1.02,0.97,0.43,0.89,0.83,0.85,0.95
a_1,0.51,0.71,0.63,0.74,0.58,5.36,1.0,0.64,0.8,0.9,0.85,1.02,0.82,0.41,0.76,1.03
h_1,0.7,0.95,0.82,0.74,0.65,0.65,2.94,1.56,0.97,1.03,1.2,1.06,0.6,1.04,1.34,1.5
g_1,0.65,0.66,1.26,0.61,0.6,0.71,1.08,3.53,0.89,1.04,1.97,1.19,1.11,1.3,1.55,0.6
d_0,0.62,0.69,0.49,1.48,0.77,0.75,1.11,0.96,2.08,0.91,1.18,1.18,1.1,1.23,1.2,1.23
c_0,0.81,0.75,0.84,0.38,0.61,0.72,1.09,1.06,1.11,2.46,1.44,2.45,1.2,1.31,1.21,1.49
f_0,0.6,0.42,0.93,0.92,0.72,0.78,1.29,1.18,1.08,1.2,2.73,1.5,1.24,1.46,2.52,1.47
b_0,0.83,0.72,0.95,0.8,0.42,0.55,0.98,1.09,1.06,0.88,1.32,2.88,1.47,2.56,1.47,1.47
h_0,0.68,1.09,0.79,0.84,0.68,0.62,0.58,1.4,1.19,0.94,1.08,1.06,0.75,1.14,1.21,1.57
a_0,0.65,0.77,0.95,0.78,0.67,0.49,1.25,1.11,1.11,0.99,1.18,1.13,1.51,3.26,1.5,1.21
e_0,0.42,0.92,0.82,0.81,0.77,0.68,1.28,1.01,1.09,1.36,1.2,1.36,1.23,1.46,3.45,1.38
g_0,0.66,0.61,1.4,0.89,0.65,0.59,1.13,0.69,0.9,1.14,1.35,1.23,1.12,1.23,1.1,0.7
