,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,10907.68,3400.68,3189.23,5118.11,8509.93,40675.06,3030665.44,6560010.99,22217117.48,14010954.69,19623400.77,26678108.91,62790639.73,115982877.66,287186862.02,167976973.05
f_1,4587.79,11934.94,4200.22,4712.2,7518.13,49716.51,3576231.72,5013561.26,10914349.08,10455519.35,19178595.32,10543041.18,65667669.04,83253097.48,300562905.82,134394786.22
d_1,2668.33,3404.28,16449.93,3706.97,9541.53,50050.0,3364592.59,6535652.67,5184785.45,24696324.46,22687971.49,26666863.17,72471873.5,105653167.82,268381746.34,200019062.12
c_1,2768.65,3330.07,3731.23,19674.96,17735.12,34452.25,2998053.46,5177521.44,11250145.59,5169740.27,11928258.86,24494257.13,59822354.94,106723489.09,263574233.46,223841199.36
b_1,2741.13,3167.89,4087.59,4465.34,49115.01,90086.66,2847999.78,5159882.86,9389145.44,9927757.45,7582376.9,24740956.32,57057884.54,98391108.82,237494924.35,207154617.78
a_1,2345.44,2946.04,4160.31,5749.66,8757.11,360125.67,3716313.53,6333252.56,11801907.29,13581698.38,19245992.26,24328640.19,29762786.37,119434064.34,277514077.73,316048884.79
h_1,3571.56,5059.97,4515.44,5634.5,12188.41,37882.06,9402194.6,9416459.94,13657101.19,15902897.86,23594470.05,30862910.3,76824492.39,92814904.56,439130859.18,297694290.22
g_1,3006.65,2555.7,7370.28,6186.9,10348.45,60769.14,3714332.32,19577383.59,11018540.18,16511621.22,20232258.06,52823058.02,75686351.76,102658909.59,242414514.95,311758587.39
d_0,3157.27,3797.28,3460.48,10041.1,10168.66,54598.23,3449203.49,7611488.3,26495607.89,10350568.53,21091343.28,34051959.59,64140169.89,118682179.19,324691470.95,312787170.32
c_0,3192.46,4334.0,5702.89,3953.0,8033.7,59613.65,3626883.6,7732469.81,13506168.21,29846961.11,42679694.66,36629544.51,98790606.5,139769842.4,343481927.97,260930288.97
b_0,3120.38,4374.2,5213.61,6417.72,6554.51,64393.2,3851610.57,8557710.98,13564694.93,14860459.1,47957333.33,36798085.36,164651010.84,137759818.96,409055750.58,278066782.16
f_0,2418.39,2447.71,6199.61,6464.52,10919.22,61137.44,5010366.41,9514827.52,15431240.93,16570802.66,24590681.0,68056674.01,99144694.7,140628643.28,339880144.67,616224576.25
a_0,3303.02,4035.47,6679.8,5810.41,11381.56,30967.29,4353769.97,8054503.86,13330403.0,13721986.59,27119634.7,32933446.26,202994396.93,111077363.99,411772600.73,325169975.79
h_0,3060.39,5504.6,5524.54,5621.96,11385.06,56954.33,2500601.51,8954196.35,11168842.1,13880439.09,20101616.63,26854953.75,90120761.13,67657641.96,468056653.51,239645229.93
g_0,2930.78,3427.31,7283.72,4742.16,12858.45,51377.55,3607277.63,6757181.9,14744233.62,16904755.06,20723809.52,50378331.15,88205898.66,141683358.1,249019328.68,326994909.33
e_0,1731.5,4706.93,5631.81,6840.2,13763.64,57293.75,4358465.87,7620967.11,14654874.63,15811128.2,20169696.97,34790917.07,79331850.68,122065662.37,366234487.43,746032830.18
