,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.06,2.07,2.41,1.83,2.5,1.44,0.83,0.83,0.39,0.67,0.63,0.55,0.51,0.54,0.49,0.43
f_1,2.17,1.06,2.01,2.37,1.91,1.55,0.63,0.87,0.65,0.58,0.77,0.53,0.37,0.41,0.51,0.5
d_1,2.35,2.02,1.06,2.37,2.2,2.0,0.81,0.54,0.98,0.67,0.53,0.62,0.46,0.57,0.47,0.33
e_1,2.37,1.48,2.42,1.06,2.19,2.15,0.88,0.89,0.79,0.68,0.74,0.62,0.54,1.16,0.62,0.56
b_1,1.42,2.81,2.43,2.24,1.06,2.68,1.11,0.92,0.79,0.86,0.67,1.01,0.56,0.57,0.67,0.51
a_1,4.28,4.35,3.38,3.23,1.72,1.07,1.13,1.49,1.08,1.05,0.88,1.18,0.76,1.05,1.24,0.86
h_1,5.44,5.64,4.96,5.88,4.93,4.74,1.32,2.03,1.84,1.54,1.45,1.49,1.44,1.13,1.27,1.37
g_1,6.21,6.31,6.6,5.97,6.66,4.64,1.83,1.32,1.92,1.66,2.2,1.7,1.04,1.61,1.54,1.63
d_0,8.14,6.61,8.83,3.94,6.75,5.09,2.64,2.36,1.51,1.69,2.44,1.73,1.4,2.1,1.94,1.55
c_0,12.3,7.11,4.23,7.13,6.52,5.81,2.71,2.61,2.85,1.5,2.04,2.42,1.67,2.32,2.04,1.46
f_0,7.59,11.33,7.64,6.83,7.51,6.08,3.07,1.88,2.31,2.22,1.51,2.48,1.78,2.77,2.42,1.27
b_0,10.33,8.31,6.17,7.8,10.37,6.59,2.91,2.77,2.48,1.4,1.94,1.54,1.8,2.06,2.64,1.67
h_0,8.87,11.04,9.64,9.01,8.66,7.78,4.55,4.0,3.15,2.84,2.99,2.38,2.67,2.47,2.41,2.11
e_0,9.73,16.93,9.08,12.69,10.38,6.72,3.97,2.89,2.86,2.42,1.62,2.52,2.33,1.55,2.39,2.02
a_0,11.29,9.88,10.1,10.24,10.45,11.33,3.62,3.98,2.98,2.63,2.52,1.65,2.14,2.54,1.62,2.28
g_0,11.49,11.38,11.14,9.28,10.34,8.29,3.25,4.36,3.17,2.96,3.33,2.79,1.87,2.66,2.71,2.66
