,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.24,0.66,0.45,0.67,0.52,0.42,0.96,2.29,0.94,1.05,1.31,1.2,0.84,1.37,0.45,1.36
f_1,1.04,2.31,0.57,0.51,0.42,0.34,0.95,1.0,0.86,1.17,1.07,0.4,0.98,1.42,0.67,1.03
d_1,0.61,0.6,2.41,0.42,0.47,0.39,1.16,0.55,0.99,2.23,1.28,1.16,1.08,1.52,1.27,1.44
c_1,0.57,0.55,0.54,2.43,0.97,0.46,1.04,1.09,0.75,0.44,0.81,1.04,0.88,1.47,0.88,1.47
b_1,0.49,0.62,0.65,0.59,2.6,0.85,0.95,1.16,0.88,0.96,0.4,1.08,0.73,1.32,1.16,1.03
a_1,0.64,0.65,0.48,0.69,0.53,3.13,1.16,0.95,0.9,1.11,1.28,1.1,0.43,1.3,0.93,1.06
h_1,0.79,1.06,0.71,0.65,0.6,0.41,3.08,1.27,1.2,1.22,1.3,1.15,1.25,1.06,1.13,1.98
d_0,0.66,0.7,0.39,1.38,0.61,0.53,1.16,2.72,1.19,0.97,1.5,1.35,1.21,1.82,1.05,1.35
g_1,0.62,0.53,1.12,0.71,0.6,0.47,1.4,1.25,3.43,1.63,1.37,2.01,1.33,1.79,1.33,1.22
c_0,0.76,0.78,0.84,0.51,0.39,0.44,1.49,1.54,1.3,2.83,2.86,1.44,1.48,1.82,1.33,1.8
b_0,0.72,0.86,0.7,0.77,0.39,0.41,1.55,1.52,1.36,1.43,2.88,1.47,2.62,1.77,1.25,1.67
f_0,0.5,0.45,0.87,0.82,0.69,0.54,1.53,1.51,1.21,1.49,1.63,2.91,1.48,1.85,2.75,1.91
a_0,0.88,0.7,0.71,0.78,0.66,0.38,1.5,1.46,1.11,1.22,1.23,1.4,3.23,1.85,1.31,1.43
h_0,0.74,1.0,0.78,0.67,0.56,0.41,0.73,1.38,1.56,1.42,1.28,1.33,1.19,1.19,1.19,2.32
e_0,0.4,0.78,0.84,0.69,0.66,0.7,1.35,1.25,1.24,1.72,1.65,1.51,1.3,2.12,3.09,1.74
g_0,0.65,0.64,1.15,0.69,0.75,0.4,1.27,1.17,0.68,1.24,1.33,2.21,1.17,1.81,1.45,1.03
