,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.41,0.99,0.88,0.85,0.86,0.84,0.46,0.56,0.34,0.46,0.39,0.37,0.29,0.39,0.35,0.25
e_1,0.85,0.41,0.58,0.94,0.97,0.89,0.58,0.49,0.57,0.43,0.48,0.44,0.4,0.42,0.83,0.4
f_1,0.79,0.98,0.4,0.85,0.88,1.06,0.33,0.41,0.53,0.33,0.49,0.33,0.23,0.35,0.31,0.3
c_1,1.05,0.73,0.9,0.39,0.97,0.84,0.43,0.25,0.49,0.57,0.35,0.34,0.38,0.38,0.35,0.42
b_1,0.9,0.89,1.06,0.57,0.36,0.93,0.53,0.35,0.45,0.48,0.35,0.81,0.35,0.41,0.43,0.37
a_1,0.86,0.83,0.86,1.09,0.54,0.31,0.66,0.43,0.56,0.45,0.45,0.52,0.46,0.76,0.5,0.38
h_1,0.77,0.73,0.95,0.82,0.72,0.63,0.24,0.35,0.6,0.32,0.36,0.37,0.44,0.33,0.31,0.32
d_0,1.16,0.49,0.83,0.92,0.93,0.74,0.44,0.27,0.41,0.31,0.32,0.36,0.31,0.28,0.33,0.34
g_1,0.92,0.75,0.78,0.83,0.88,0.67,0.3,0.42,0.22,0.38,0.36,0.37,0.28,0.44,0.37,0.34
c_0,0.49,0.88,0.83,1.31,0.79,0.63,0.49,0.5,0.44,0.25,0.41,0.54,0.33,0.38,0.4,0.35
f_0,0.69,0.75,1.19,0.81,0.84,0.65,0.47,0.36,0.31,0.34,0.24,0.36,0.3,0.29,0.38,0.19
b_0,0.68,0.71,0.88,1.1,0.96,0.68,0.42,0.41,0.39,0.2,0.34,0.24,0.3,0.46,0.34,0.26
h_0,0.79,0.67,0.99,0.71,0.82,0.66,0.51,0.35,0.38,0.31,0.32,0.31,0.37,0.31,0.31,0.28
a_0,0.69,0.75,0.83,0.83,0.93,1.15,0.43,0.44,0.33,0.34,0.36,0.21,0.36,0.21,0.33,0.29
e_0,0.76,1.01,1.14,0.87,0.71,0.57,0.46,0.41,0.34,0.33,0.2,0.35,0.29,0.32,0.2,0.31
g_0,0.82,0.77,0.93,0.68,0.64,0.74,0.36,0.36,0.61,0.31,0.43,0.39,0.27,0.34,0.32,0.34
