,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.49,1.31,1.36,1.56,3.57,19.17,32.83,31.98,42.48,52.65,45.71,55.07,90.03,120.55,116.65
e_1,0.68,1.0,1.31,1.18,2.04,3.73,20.6,29.32,39.88,37.35,47.05,56.85,63.34,83.09,113.98,146.58
c_1,0.77,0.76,1.0,1.18,1.96,3.3,19.07,25.11,18.02,27.75,34.64,42.42,47.26,62.0,100.63,116.08
d_1,0.75,0.84,0.85,1.0,1.3,3.04,15.4,18.47,21.19,38.98,38.29,38.85,43.22,64.87,72.03,99.79
b_1,0.64,0.5,0.51,0.77,1.0,2.92,13.04,17.36,15.71,25.54,29.73,27.09,35.23,40.92,69.92,60.78
a_1,0.27,0.27,0.3,0.31,0.35,1.0,5.78,7.95,8.67,10.07,13.05,14.29,17.97,22.85,31.04,29.28
h_1,0.05,0.05,0.05,0.06,0.08,0.17,1.0,1.51,1.3,1.85,2.46,2.21,3.01,3.77,6.2,5.86
g_1,0.03,0.04,0.04,0.05,0.06,0.13,0.65,1.0,0.96,1.31,1.8,1.97,1.82,3.28,3.78,4.94
d_0,0.03,0.03,0.06,0.05,0.07,0.11,0.79,1.06,1.0,1.05,1.69,1.84,2.13,3.06,4.3,5.14
c_0,0.02,0.03,0.04,0.03,0.04,0.1,0.51,0.76,0.92,1.0,1.65,1.31,1.69,2.88,3.27,4.07
b_0,0.02,0.02,0.03,0.03,0.03,0.08,0.43,0.55,0.56,0.57,1.0,0.93,1.17,2.31,2.21,2.54
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.44,0.5,0.58,0.77,1.07,1.0,1.31,1.8,1.87,3.94
h_0,0.02,0.02,0.02,0.02,0.03,0.06,0.32,0.55,0.48,0.59,0.84,0.74,1.0,1.45,2.06,2.09
a_0,0.01,0.01,0.02,0.02,0.02,0.04,0.26,0.31,0.32,0.35,0.45,0.58,0.67,1.0,1.26,1.66
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.17,0.26,0.22,0.3,0.43,0.54,0.47,0.77,1.0,1.28
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.18,0.2,0.21,0.25,0.41,0.26,0.47,0.58,0.78,1.0
