,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,94.16,88.93,76.68,106.64,171.16,406.4,8303.11,20614.93,20309.85,22737.0,52900.01,57350.75,124694.2,116063.94,123535.92,293972.16
e_1,56.03,101.99,72.81,114.1,146.75,430.95,9976.39,32222.46,19771.74,23680.6,49562.91,88458.25,154531.03,141912.83,157705.23,315073.78
d_1,59.36,56.94,128.19,67.39,130.33,411.51,8240.97,14902.55,16877.62,36882.62,54288.79,74039.24,154997.88,147636.24,163610.16,240528.51
c_1,47.78,48.06,73.77,148.11,212.56,342.44,8205.9,15542.42,16683.37,14628.67,38044.08,65909.36,129090.1,127016.92,117816.26,230441.12
b_1,36.51,46.9,66.53,65.63,219.66,581.91,7160.05,13461.4,14500.06,16833.06,28553.03,55216.27,99406.58,89656.56,89848.16,217417.64
a_1,31.29,32.3,46.52,56.84,66.96,507.14,4918.21,10635.08,11716.82,13239.45,31316.05,50686.21,87474.03,96824.64,79934.02,182384.13
h_1,17.73,13.64,22.24,23.36,37.45,93.8,3134.35,4767.89,6666.55,5997.42,12606.7,17961.2,32065.57,37827.99,34780.42,86367.96
d_0,11.55,9.9,12.18,30.54,37.23,77.23,1849.35,5051.16,3870.86,3970.9,8972.77,16903.41,29107.45,33168.67,27060.37,61847.26
g_1,9.93,11.0,21.86,18.19,30.54,73.96,1433.47,3561.61,5873.63,4399.89,10676.99,20905.86,27008.49,29569.16,29453.55,46556.6
c_0,11.59,10.62,14.78,17.12,27.75,79.82,1849.04,3727.58,4597.61,6049.28,15592.46,16039.26,27906.83,27793.53,35279.48,57759.5
b_0,8.95,9.69,12.54,15.62,18.26,41.87,1440.83,3100.28,3185.31,3182.68,10345.68,12465.61,21697.75,23680.54,37861.34,41869.56
f_0,7.09,6.25,12.39,12.74,23.33,52.3,1174.79,2287.29,2603.98,3356.61,7200.23,13987.29,22284.63,32572.12,19822.18,39046.19
h_0,7.77,6.06,8.94,10.43,16.97,49.8,898.09,2091.03,2552.01,2735.4,6283.76,8608.42,14719.31,18019.19,16178.98,36688.92
e_0,6.65,4.85,9.36,9.46,20.08,41.76,1048.28,2000.26,2359.75,2570.68,6194.2,7816.76,14850.05,23449.67,15213.78,38341.84
a_0,6.55,5.9,9.15,11.16,17.63,29.1,1038.39,2056.97,2044.61,2586.63,5176.71,9212.22,15454.65,15680.31,22848.3,28103.46
g_0,4.24,4.43,10.36,8.11,15.07,38.46,745.41,1466.33,1819.96,2145.04,4784.0,9734.37,12542.03,12786.83,15205.86,24086.73
