,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,6.14,4.44,2.63,2.72,2.49,2.37,9.62,11.06,10.06,13.59,13.27,8.56,19.58,13.29,9.99,17.01
e_1,3.0,6.26,2.32,3.39,2.9,2.98,10.59,12.12,10.85,23.84,13.03,12.89,20.49,14.66,10.98,20.17
d_1,2.91,2.7,6.71,2.23,2.71,2.9,11.32,22.06,10.86,10.67,17.94,17.0,22.02,15.19,16.75,21.58
c_1,2.5,2.6,2.81,6.87,4.88,2.82,9.05,6.96,9.51,11.75,9.43,14.37,19.4,13.22,13.06,19.69
b_1,2.7,2.33,3.26,2.79,7.23,5.35,11.32,10.78,10.03,11.75,10.07,12.57,20.21,10.62,15.06,22.43
a_1,2.93,2.47,3.0,3.32,2.67,10.91,12.16,12.6,11.68,13.69,13.93,14.32,21.25,11.05,13.44,21.61
h_1,3.66,2.98,3.36,2.68,2.96,2.72,18.76,12.5,14.42,14.69,15.52,15.31,16.6,14.39,15.3,29.09
c_0,3.24,3.07,3.42,2.8,2.48,2.69,10.83,21.22,10.93,13.72,27.47,15.05,23.1,20.69,16.91,20.99
g_1,2.73,2.67,4.45,2.94,2.84,3.06,10.58,14.97,23.12,13.41,14.0,22.56,22.54,15.99,17.13,18.47
d_0,3.28,2.92,1.93,5.1,3.01,3.0,9.02,9.9,10.51,20.6,13.75,13.5,21.07,17.79,12.98,19.62
b_0,3.37,2.96,3.36,3.24,2.66,1.92,9.25,14.81,13.06,16.93,23.31,14.7,25.34,31.81,18.0,23.61
f_0,2.39,2.57,3.31,3.37,3.71,3.3,11.17,13.41,12.16,13.87,16.6,23.56,23.75,18.45,29.7,20.06
h_0,3.76,2.76,3.25,3.21,2.94,2.95,8.37,13.51,13.99,14.56,15.74,13.81,17.67,15.3,14.71,28.12
a_0,3.36,2.82,3.05,3.27,3.63,2.01,13.22,13.65,11.76,15.87,16.18,16.46,22.58,29.53,15.02,23.22
e_0,3.04,2.42,3.0,3.3,3.7,3.11,12.26,12.75,11.97,15.42,15.22,14.79,22.86,17.72,32.04,26.63
g_0,2.54,2.5,4.4,3.13,3.16,2.73,11.27,13.79,10.04,13.31,13.62,21.69,19.02,14.49,17.62,19.82
