,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,9806.63,9637.36,5499.4,7664.83,14447.92,91114.55,5130283.21,17649075.14,17731761.43,28974687.1,50258733.8,34268561.58,208050658.59,204788973.22,408117290.17,298808098.15
e_1,4908.06,13204.56,5422.59,10151.0,17844.91,79014.86,5417222.97,19425695.65,19178081.25,44475860.5,48175694.03,58928722.19,214754130.35,218757659.13,378040632.27,285835654.28
d_1,4953.4,5447.03,14614.39,6551.03,18872.44,80750.07,6360464.28,35871698.75,20164363.63,18092783.81,59618967.61,58583288.54,228866813.07,224029755.55,398894560.16,458210646.81
c_1,4308.0,4860.79,6383.84,18693.72,31925.88,99129.68,5460110.75,14933786.33,15171733.89,25282400.81,35830361.58,58967161.79,221475322.34,179177729.57,391783346.1,391512539.13
b_1,4676.27,5471.48,6518.04,7662.98,49327.34,171451.11,5950966.65,19593862.44,20805776.19,24131251.22,37751340.87,60544991.08,226505972.26,187656014.4,349893348.63,380518832.92
a_1,4180.26,5810.2,7559.85,7914.66,19070.93,361737.13,6116485.19,23298811.9,23026864.81,25802016.42,50622852.08,60251517.66,261371591.46,213120529.23,416932811.25,399949542.56
h_1,6172.85,5878.19,7719.09,7502.6,16852.82,92135.36,10220204.01,21331519.45,28202513.77,28563687.75,57695189.66,59023644.51,202296809.57,213612884.6,524952926.13,422264078.96
c_0,5651.19,6287.24,7075.66,7324.23,13486.71,100544.49,7018463.41,32479178.29,24268968.51,28993172.97,96310808.01,71971959.18,271661038.03,309394205.99,465542891.83,499156937.45
g_1,4445.57,5362.24,9621.52,8457.2,19852.33,90932.66,6103169.68,23779478.43,42970507.01,24603877.71,53015020.43,87234144.78,200635477.16,255426881.83,301259967.5,461653296.5
d_0,4877.51,5344.96,5365.89,13778.36,21235.02,78833.94,6286057.17,16322860.8,22012150.68,40906510.29,53149979.3,61048093.0,209957531.17,252395912.02,433034463.33,418402403.23
b_0,5253.44,7066.64,7151.6,8173.37,14220.3,82123.09,6332731.19,23449912.1,21492794.83,29010040.36,90762676.7,64422310.31,252565735.09,458639428.71,446568154.59,400956741.5
f_0,4237.4,4446.74,8641.67,8551.06,20775.59,99402.95,7761785.6,24857649.63,23221313.64,27483279.79,55215031.63,106097469.99,218218143.19,268767907.18,441813660.49,916873930.65
h_0,6175.93,6657.0,7177.06,8443.91,17397.56,88742.23,5096106.35,20558473.96,27417611.27,26360694.05,54174610.76,57479314.44,182120296.46,221639149.76,492645370.53,365713431.15
a_0,5270.63,6523.12,7505.87,9329.96,19780.17,69518.15,6780686.01,23844592.51,19506131.4,30251791.33,52577958.0,62580269.41,246692113.35,417160410.61,372149097.14,429144825.7
g_0,4272.86,5927.04,9532.58,8773.32,19129.78,83097.96,6123384.7,22402339.53,18905266.35,26349599.48,54245987.06,86839051.53,235498823.48,227424510.1,351510119.37,514707791.98
e_0,5042.25,5266.4,8054.99,8598.34,19749.38,104645.1,6773423.11,23241804.77,18436867.21,26039382.11,48983316.68,65409057.71,247731728.93,219051667.44,445000279.39,861943496.43
