,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,2.34,1.09,0.92,1.28,0.97,0.78,1.92,1.75,3.65,1.98,1.97,1.76,2.14,2.8,1.37,2.13
f_1,1.67,2.38,0.97,1.06,0.87,0.72,1.8,1.5,2.24,1.99,2.13,1.23,1.86,2.5,1.38,2.08
d_1,1.01,1.13,2.48,0.84,0.97,0.81,2.03,1.97,1.65,3.72,2.63,2.05,2.07,2.9,1.88,2.76
c_1,1.01,1.06,0.97,2.52,1.65,0.83,1.98,1.74,2.01,1.23,1.45,1.86,1.91,2.49,1.75,2.07
b_1,1.03,1.08,1.11,0.99,2.65,1.5,1.93,1.76,2.02,1.7,1.32,2.05,1.46,2.79,1.83,2.56
a_1,1.16,1.14,1.09,1.0,0.91,3.15,2.11,1.98,2.01,2.27,2.02,1.95,1.82,2.89,2.18,2.56
h_1,1.13,1.46,1.31,1.16,1.0,0.7,3.51,2.38,2.06,2.13,2.08,2.09,2.08,2.13,2.06,3.24
g_1,1.02,0.96,1.63,1.16,1.0,0.79,2.03,3.78,2.38,2.31,2.11,3.0,2.1,3.15,2.17,1.93
d_0,1.15,1.08,0.91,1.85,1.2,0.85,2.05,1.88,3.23,1.68,1.9,2.1,2.08,3.01,2.01,2.53
c_0,1.19,1.22,1.19,1.0,0.97,0.78,2.1,1.97,2.48,3.49,4.08,2.49,3.02,3.36,2.06,2.94
b_0,1.2,1.25,1.14,1.25,0.82,0.7,2.11,1.93,2.43,2.21,3.59,2.26,4.24,3.37,2.07,2.63
f_0,0.98,1.02,1.29,1.19,1.01,1.01,1.98,2.07,2.67,2.62,2.25,3.88,2.72,3.44,4.17,3.05
a_0,1.34,1.35,1.18,1.1,1.01,0.71,2.14,1.94,2.13,2.3,2.53,2.16,3.51,3.27,2.32,2.52
h_0,1.13,1.53,1.19,1.13,1.0,0.83,1.57,1.91,2.14,2.2,2.31,1.86,1.87,2.31,2.38,2.87
e_0,1.01,1.3,1.18,1.13,1.17,0.91,2.27,2.08,2.13,2.12,2.22,2.11,2.22,3.05,3.68,2.85
g_0,0.99,1.14,1.67,1.06,0.96,0.76,2.06,1.65,1.87,2.54,2.09,3.11,2.14,2.93,2.39,2.27
