,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,2.53,1.14,0.68,0.65,0.54,0.5,0.81,0.79,0.85,0.88,0.4,0.87,0.7,1.06,0.65,0.92
e_1,0.66,2.52,0.51,0.82,0.68,0.65,0.94,1.68,0.89,0.9,0.99,0.96,1.04,0.99,0.46,0.86
d_1,0.71,0.73,2.8,0.46,0.5,0.68,0.95,0.47,0.86,1.82,1.01,1.16,0.91,0.97,1.15,0.98
c_1,0.63,0.52,0.61,2.87,1.17,0.6,0.85,0.98,0.83,0.36,0.96,0.72,0.89,0.92,1.07,1.04
b_1,0.72,0.52,0.7,0.6,3.13,1.23,0.84,0.82,0.84,0.73,1.07,0.39,0.79,0.93,1.03,0.9
a_1,0.76,0.65,0.65,0.67,0.64,4.56,0.96,0.96,0.89,0.89,0.97,1.04,0.53,0.87,0.9,0.8
h_1,1.03,0.78,0.83,0.83,0.71,0.63,2.6,1.0,1.55,1.16,1.02,1.08,1.16,0.83,0.99,1.64
d_0,0.82,0.66,0.54,1.69,0.78,0.56,1.15,2.0,0.97,0.8,1.01,1.28,1.12,1.13,1.19,1.39
g_1,0.59,0.72,1.44,0.73,0.73,0.68,1.04,0.89,3.31,0.96,1.58,1.27,1.16,1.13,1.25,0.82
c_0,1.0,0.76,0.85,0.43,0.64,0.72,1.35,0.98,1.3,2.13,1.33,2.47,1.71,1.35,1.26,1.29
f_0,0.5,0.67,0.93,0.98,0.74,0.78,1.17,1.15,1.29,1.25,2.49,1.43,1.56,1.26,2.74,1.16
b_0,0.86,0.83,0.98,0.86,0.52,0.39,1.21,1.01,1.17,1.16,1.21,2.6,2.93,1.23,1.16,1.18
a_0,0.79,0.81,1.02,0.77,0.82,0.3,1.31,1.13,1.26,1.18,1.34,1.12,2.82,1.23,1.24,1.28
h_0,1.15,0.7,0.94,0.92,0.72,0.65,0.69,1.03,1.3,1.1,1.01,1.11,1.05,0.59,1.21,1.51
e_0,0.76,0.42,0.93,1.01,0.98,0.89,1.17,1.01,1.11,1.12,1.23,1.25,1.32,1.27,3.07,1.23
g_0,0.69,0.72,1.32,0.86,0.56,0.74,1.21,0.95,0.79,1.05,2.18,1.14,1.2,1.14,1.38,0.78
