,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,35.78,0.13,0.06,0.08,0.08,0.05,0.28,0.33,0.19,0.27,0.37,,0.66,0.36,0.37,0.58
e_1,0.07,36.74,0.08,0.05,0.07,0.07,0.26,0.68,0.35,0.37,0.37,0.25,0.64,0.27,,0.44
c_1,0.05,0.07,40.67,0.07,0.13,0.1,0.36,0.39,0.22,,0.26,0.41,0.52,0.5,0.3,0.54
d_1,0.07,0.06,0.05,42.1,0.06,0.05,0.34,,0.3,0.77,0.35,0.35,0.67,0.42,0.37,0.55
b_1,0.05,0.07,0.07,0.06,47.38,0.13,0.37,0.44,0.25,0.33,,0.54,0.65,0.25,0.52,0.31
a_1,0.08,0.08,0.08,0.06,0.06,76.02,0.23,0.35,0.38,0.28,0.27,0.4,0.68,,,0.55
h_1,0.41,0.28,0.29,0.29,0.18,0.22,28.78,1.17,1.47,1.5,1.14,1.13,,1.31,1.81,2.99
d_0,0.39,0.36,0.59,,0.43,0.42,1.72,16.64,1.12,1.74,2.47,1.42,2.23,1.85,1.27,3.35
g_1,0.25,0.23,0.26,0.51,0.23,,0.79,1.23,36.85,1.86,1.1,2.15,1.46,1.57,1.6,
c_0,0.42,0.16,,0.27,0.27,0.39,1.35,2.72,1.41,19.55,4.85,1.78,3.54,2.01,1.52,2.25
b_0,0.33,0.34,0.31,0.32,,,1.65,1.73,1.46,3.01,23.39,1.75,3.37,2.88,2.08,2.16
f_0,,0.28,0.42,0.35,0.32,0.36,1.5,2.04,1.6,1.63,1.39,24.72,3.23,1.99,3.76,3.39
h_0,0.59,0.5,0.34,0.71,0.61,0.58,,3.18,2.77,2.81,2.53,3.74,,2.71,2.16,8.24
a_0,0.36,0.32,0.34,0.35,0.23,,1.56,2.14,1.48,1.3,1.82,2.0,3.18,30.82,3.17,2.73
e_0,0.34,,0.34,0.36,0.36,0.35,1.42,1.72,1.61,2.39,2.22,1.9,3.23,,31.32,3.94
g_0,0.48,0.48,0.66,0.82,0.64,0.53,2.13,1.8,,2.53,2.18,4.72,5.56,2.73,2.97,
