,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.26,0.03,0.06,0.03,0.03,0.01,0.05,0.03,0.06,0.05,0.06,,0.08,0.05,0.05,0.07
d_1,0.03,2.26,0.02,0.02,0.02,0.02,0.07,0.05,0.12,,0.07,0.06,0.08,0.05,0.05,0.04
e_1,0.03,0.02,2.32,0.03,0.03,,0.04,0.04,0.06,0.13,0.05,0.08,0.08,0.05,,0.07
c_1,0.04,0.03,0.02,2.38,0.05,0.01,0.06,0.05,,0.06,0.05,0.06,0.08,0.04,0.04,0.08
b_1,0.03,0.03,0.03,0.03,2.5,0.04,0.05,0.04,0.05,0.06,,0.04,0.08,0.05,0.05,0.09
a_1,0.02,0.03,,0.03,0.03,3.04,0.07,0.05,0.06,0.04,0.05,0.08,0.12,,0.05,
h_1,0.14,0.09,0.11,0.12,0.07,0.08,2.83,0.25,0.29,0.2,0.19,0.23,,0.19,0.15,0.39
g_1,0.06,0.19,0.09,0.12,0.1,0.09,0.13,2.96,0.21,0.28,0.21,0.31,0.28,0.16,0.17,
c_0,0.17,0.16,0.12,,0.1,0.07,0.27,0.27,2.04,0.33,0.41,0.39,0.43,0.23,0.21,0.36
d_0,0.14,,0.14,0.25,0.13,0.15,0.33,0.24,0.25,2.03,0.43,0.29,0.35,0.22,0.17,0.24
b_0,0.16,0.14,0.15,0.1,,0.1,0.35,0.24,0.32,0.28,2.17,0.2,0.52,0.47,0.2,0.28
f_0,,0.15,0.11,0.16,0.14,0.09,0.14,0.22,0.28,0.42,0.32,2.09,0.46,0.26,0.57,0.39
h_0,0.28,0.26,0.23,0.15,0.21,0.17,,0.5,0.42,0.53,0.39,0.43,,0.2,0.33,0.75
a_0,0.14,0.14,0.18,0.16,0.09,,0.23,0.25,0.35,0.21,0.18,0.24,0.36,2.77,,0.29
e_0,0.18,0.15,,0.11,0.1,0.13,0.31,0.29,0.37,0.44,0.31,0.18,0.36,,2.65,0.29
g_0,0.21,0.32,0.22,0.19,0.18,,0.28,,0.56,0.37,0.55,0.68,0.43,0.3,0.38,
