,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,2.11,0.73,0.69,0.71,1.37,0.69,0.91,0.9,0.86,0.43,0.99,0.58,1.06,0.95,0.8,0.92
f_1,0.75,2.12,0.8,1.26,0.63,0.58,0.93,0.85,0.95,0.92,0.51,0.99,0.83,0.58,1.02,0.82
d_1,0.62,0.86,2.27,0.7,0.7,0.63,1.02,0.98,0.58,1.84,1.09,1.46,1.03,1.15,1.04,1.05
e_1,0.93,0.74,0.65,2.25,0.74,0.67,0.85,0.95,1.72,0.83,1.01,0.92,0.97,0.65,0.96,1.05
b_1,0.76,0.74,0.76,0.7,2.33,1.49,0.94,0.8,0.85,0.82,0.91,0.58,1.0,0.91,0.77,0.88
a_1,0.88,0.87,0.68,0.66,0.67,3.51,0.95,1.07,0.97,1.0,1.12,0.96,1.02,1.27,0.76,0.97
h_1,0.82,1.11,0.92,0.76,0.66,0.82,2.0,1.29,0.87,1.08,1.1,1.12,0.79,1.03,1.09,1.38
g_1,0.77,0.74,1.37,0.65,0.7,0.65,1.17,2.33,0.9,1.09,1.76,1.0,0.96,1.34,0.98,0.91
d_0,1.46,0.82,0.56,0.81,0.86,0.79,0.93,0.96,1.64,0.63,1.07,0.92,0.97,0.98,1.12,1.06
c_0,0.73,0.93,1.0,0.76,0.56,0.69,1.18,1.2,1.03,1.84,1.16,2.28,1.28,1.29,1.34,1.27
f_0,0.9,0.62,1.06,0.71,0.86,0.86,1.19,1.11,0.92,1.13,1.9,1.26,1.14,2.37,1.1,1.19
b_0,0.81,1.03,0.96,0.81,0.52,0.56,1.13,1.05,1.1,1.07,0.89,1.88,1.29,1.19,2.28,1.21
h_0,0.83,1.07,0.89,0.81,0.75,0.73,0.85,1.44,1.02,1.04,1.12,1.08,0.83,1.15,1.3,1.46
e_0,0.89,1.04,0.97,0.54,0.83,0.9,1.22,1.15,0.89,0.93,1.22,0.97,1.34,2.5,1.1,1.19
a_0,0.81,0.88,1.07,0.8,0.78,0.53,1.16,1.11,0.98,0.98,0.82,1.08,1.06,1.06,2.31,1.12
g_0,0.86,0.69,1.33,0.65,0.8,0.59,1.0,0.73,0.93,1.21,1.58,1.22,1.16,1.25,1.2,0.94
