,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.43,1.02,0.88,0.85,0.87,0.82,1.17,0.97,0.89,0.98,0.7,0.85,1.03,1.0,0.9
e_1,0.7,1.0,1.1,0.99,1.16,0.91,1.08,0.97,1.5,1.13,0.99,1.19,1.04,0.98,1.14,1.24
c_1,0.98,0.91,1.0,1.02,1.44,0.9,1.21,0.97,0.7,0.88,0.94,0.98,0.94,0.83,1.01,0.93
d_1,1.14,1.01,0.98,1.0,0.99,1.07,0.97,0.74,0.95,1.27,0.92,0.97,0.93,1.02,0.85,0.89
b_1,1.18,0.86,0.69,1.01,1.0,1.6,1.12,1.18,1.1,1.16,1.15,0.96,1.13,0.91,1.13,0.89
a_1,1.15,1.1,1.11,0.93,0.62,1.0,1.08,1.06,1.16,1.13,0.84,1.11,1.33,1.21,0.93,0.91
h_1,1.24,0.91,0.81,1.04,0.87,0.92,1.0,1.13,0.94,1.04,1.01,0.95,1.24,0.89,1.06,1.2
g_1,0.87,1.01,1.0,1.38,0.85,0.91,0.89,1.0,0.92,0.88,0.96,1.15,0.81,1.01,0.9,1.14
d_0,0.96,0.66,1.5,1.07,0.92,0.8,1.14,1.14,1.0,0.91,1.1,1.1,1.2,1.15,1.1,1.1
c_0,1.19,0.83,1.24,0.82,0.87,0.91,0.96,1.2,1.13,1.0,1.65,1.0,1.05,1.26,1.38,1.17
b_0,0.99,0.92,1.17,1.05,0.83,1.23,1.01,1.01,0.91,0.55,1.0,0.97,0.98,1.26,0.83,0.97
f_0,1.36,0.78,1.08,1.04,0.95,0.93,1.02,0.85,1.03,1.0,1.05,1.0,1.25,1.06,0.89,1.4
h_0,1.18,0.9,1.1,1.08,0.88,0.76,0.81,1.27,0.85,0.96,1.01,0.8,1.0,1.07,1.06,0.88
a_0,1.04,0.99,1.19,0.9,1.13,,1.1,1.01,0.84,0.78,0.79,0.98,0.95,1.0,0.96,1.22
g_0,0.99,0.84,1.04,1.15,0.89,1.02,0.94,1.18,0.83,0.68,1.15,1.19,0.98,0.97,1.0,0.93
e_0,1.33,0.69,1.13,1.11,1.09,1.07,0.83,0.91,0.94,0.91,1.0,0.74,1.08,0.79,1.06,1.0
