,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,5.9,2.99,2.88,2.34,2.46,2.75,10.54,9.88,21.59,10.65,18.38,14.22,16.39,23.14,15.7,22.39
f_1,2.68,6.05,4.54,2.59,2.75,2.31,10.38,10.03,12.59,15.72,13.24,10.0,14.91,19.39,8.99,19.37
e_1,2.53,2.97,6.65,3.59,2.96,2.71,9.98,9.34,12.13,22.13,13.87,11.48,14.17,19.87,10.93,19.24
c_1,2.78,2.63,2.43,6.95,4.8,3.62,9.66,10.38,7.34,13.02,8.27,13.35,12.74,19.31,13.91,20.31
b_1,2.64,2.58,2.63,3.0,8.09,5.54,9.35,10.56,11.74,13.29,8.87,13.21,10.87,19.88,13.2,19.22
a_1,2.65,2.72,2.7,3.12,3.36,10.98,11.99,11.04,11.34,14.08,13.08,15.65,10.48,21.93,17.56,23.06
h_1,3.33,3.79,2.87,2.94,2.41,2.54,18.91,13.7,14.24,13.45,15.63,15.61,14.34,17.67,18.24,27.57
g_1,3.97,2.8,2.8,2.75,2.84,2.73,11.16,22.35,13.8,12.88,15.95,23.63,17.78,24.78,21.3,19.47
c_0,3.29,3.08,3.43,2.52,2.69,2.78,11.05,11.93,21.16,14.43,25.6,16.77,19.39,20.39,18.12,21.77
d_0,2.31,2.74,2.95,5.43,3.19,3.12,9.89,9.93,8.46,20.1,11.77,12.74,14.26,20.52,13.63,20.89
b_0,3.2,3.37,2.8,3.55,2.71,2.44,11.29,11.76,13.51,14.53,22.64,14.13,27.86,24.93,15.89,21.78
f_0,3.47,2.58,2.26,3.39,3.54,3.31,11.93,12.59,14.96,13.26,16.02,25.58,16.26,20.79,34.87,26.14
a_0,3.26,3.22,2.92,3.41,2.89,2.66,11.5,12.17,13.15,12.83,16.24,14.87,26.11,25.96,15.21,23.21
h_0,3.29,3.75,3.07,3.1,2.68,2.96,8.39,13.37,13.27,14.49,13.66,15.14,15.95,16.56,13.52,24.35
e_0,3.32,2.97,2.35,3.27,3.77,3.53,11.4,12.35,14.59,13.32,14.44,15.36,15.97,25.61,32.25,24.9
g_0,4.52,2.85,2.73,3.25,2.6,2.55,10.84,8.99,15.91,12.86,15.03,19.14,13.26,21.18,17.28,18.7
