,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.92,0.45,0.31,0.48,0.32,0.22,0.36,0.63,0.3,0.29,0.34,0.3,0.33,0.22,0.18,0.29
f_1,0.66,0.92,0.33,0.39,0.29,0.24,0.32,0.4,0.28,0.32,0.32,0.21,0.35,0.2,0.15,0.27
d_1,0.38,0.45,0.92,0.29,0.34,0.26,0.37,0.26,0.34,0.58,0.38,0.33,0.41,0.26,0.26,0.32
c_1,0.38,0.4,0.38,0.91,0.56,0.22,0.35,0.36,0.28,0.22,0.26,0.3,0.39,0.21,0.25,0.28
b_1,0.41,0.39,0.4,0.42,0.91,0.44,0.32,0.35,0.26,0.3,0.25,0.29,0.33,0.17,0.23,0.3
a_1,0.39,0.45,0.47,0.36,0.33,0.89,0.39,0.41,0.3,0.35,0.37,0.33,0.39,0.19,0.22,0.31
h_1,0.46,0.62,0.44,0.39,0.31,0.24,0.66,0.38,0.35,0.29,0.36,0.3,0.35,0.28,0.23,0.39
d_0,0.48,0.47,0.31,0.66,0.36,0.22,0.39,0.56,0.29,0.24,0.34,0.32,0.4,0.19,0.22,0.31
g_1,0.4,0.43,0.6,0.39,0.36,0.23,0.4,0.34,0.63,0.36,0.32,0.46,0.37,0.27,0.28,0.29
c_0,0.46,0.53,0.48,0.32,0.26,0.23,0.42,0.39,0.3,0.56,0.62,0.36,0.42,0.3,0.27,0.33
b_0,0.49,0.5,0.45,0.45,0.26,0.21,0.42,0.44,0.33,0.34,0.54,0.33,0.43,0.5,0.25,0.34
f_0,0.39,0.41,0.49,0.42,0.38,0.24,0.46,0.43,0.32,0.35,0.42,0.53,0.44,0.28,0.46,0.38
h_0,0.38,0.56,0.47,0.4,0.35,0.24,0.32,0.35,0.4,0.39,0.39,0.36,0.32,0.25,0.25,0.4
a_0,0.4,0.51,0.46,0.42,0.33,0.23,0.45,0.41,0.37,0.39,0.38,0.35,0.48,0.48,0.29,0.34
e_0,0.36,0.53,0.44,0.44,0.39,0.24,0.45,0.39,0.3,0.33,0.38,0.33,0.5,0.27,0.44,0.36
g_0,0.4,0.39,0.57,0.42,0.38,0.26,0.44,0.33,0.26,0.34,0.4,0.5,0.44,0.23,0.28,0.32
