,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,5.9,2.52,3.03,1.91,1.97,1.79,8.02,18.32,7.95,9.2,11.59,11.26,15.29,12.36,8.26,16.04
f_1,3.85,6.24,2.22,1.93,1.8,2.03,7.65,11.16,7.34,10.33,10.18,6.65,14.66,9.9,7.92,13.89
c_1,2.02,2.11,6.3,2.18,4.21,1.99,7.49,10.32,6.71,5.53,7.79,10.95,15.31,10.94,10.88,15.67
d_1,1.87,2.34,1.76,6.63,2.32,2.35,9.32,6.73,9.48,19.75,12.33,12.14,17.07,12.62,13.27,17.03
b_1,2.14,2.11,2.11,2.22,7.53,4.63,6.55,9.13,7.33,9.56,6.08,10.25,15.96,9.54,13.07,14.18
a_1,2.26,2.35,2.22,2.32,2.14,10.38,7.85,8.84,8.98,12.2,12.7,10.85,19.31,9.28,12.56,17.42
h_1,2.35,3.39,2.14,2.62,2.05,2.12,20.14,10.04,12.54,12.13,11.48,12.16,12.1,13.84,10.55,23.31
d_0,2.3,2.66,4.3,1.52,2.72,2.45,9.7,17.54,7.4,7.97,12.53,11.08,15.41,13.77,13.33,17.19
g_1,2.06,2.35,2.32,3.59,2.11,2.42,9.64,9.88,22.0,13.04,12.11,19.7,17.18,11.11,14.44,14.7
c_0,2.49,2.84,2.08,2.74,1.85,2.36,10.22,11.27,10.54,20.11,23.05,12.6,20.3,15.29,15.74,19.35
b_0,2.57,2.66,2.92,2.89,1.35,1.98,9.73,13.23,8.22,12.46,21.35,11.98,17.88,28.37,15.68,20.78
f_0,1.67,2.07,2.82,2.69,2.8,2.72,10.03,11.97,9.12,12.03,14.16,22.26,19.01,12.1,29.79,22.5
h_0,2.7,3.57,2.23,2.69,2.29,2.25,7.17,9.86,11.7,11.55,11.39,12.03,12.29,12.66,12.39,22.67
a_0,2.29,2.8,2.89,2.78,2.04,1.9,9.63,13.97,7.48,13.61,12.62,12.9,17.94,26.66,14.04,17.79
e_0,1.69,3.01,2.64,2.69,2.46,3.15,10.46,9.49,8.57,10.2,10.45,12.08,18.59,13.62,29.57,23.07
g_0,2.11,2.1,2.27,4.08,2.64,2.17,8.3,8.37,6.77,12.18,13.2,17.52,18.0,14.86,15.3,14.93
