,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.05,1.16,1.78,1.88,1.63,1.45,0.72,0.66,0.63,0.47,0.51,0.59,0.41,0.42,0.43,0.6
f_1,1.84,1.05,1.61,1.77,1.58,1.29,0.54,0.64,0.5,0.52,0.47,0.56,0.28,0.39,0.4,0.37
d_1,2.01,2.01,1.05,1.62,1.74,1.54,0.69,0.48,0.74,0.58,0.52,0.48,0.43,0.27,0.47,0.42
c_1,1.58,1.84,2.32,1.05,1.98,1.44,0.69,0.67,0.37,0.59,0.47,0.48,0.44,0.39,0.41,0.41
b_1,2.02,2.34,2.0,1.32,1.06,1.92,0.83,0.79,0.61,0.74,0.66,0.56,0.5,0.47,0.5,0.55
a_1,2.89,3.4,2.66,2.59,1.67,1.06,1.18,1.11,0.95,0.76,0.82,0.7,0.68,0.67,0.86,0.65
h_1,4.67,4.99,4.34,4.63,4.54,3.49,1.26,1.79,1.49,1.27,1.25,1.48,1.13,1.11,1.13,1.04
g_1,5.39,5.87,5.51,5.4,5.66,4.44,1.75,1.29,1.72,1.73,1.61,1.68,1.1,1.31,1.61,1.44
d_0,3.86,5.46,6.7,6.35,5.58,4.74,2.34,2.46,1.41,1.55,1.7,1.65,1.39,1.34,1.39,1.54
c_0,6.83,6.6,3.99,7.85,5.16,6.0,2.47,2.11,2.37,1.41,2.37,1.66,1.5,1.39,1.49,1.54
b_0,6.81,6.95,5.6,9.43,8.59,5.65,2.63,2.52,2.18,1.28,1.45,1.89,1.69,1.46,1.97,1.63
f_0,6.18,8.88,6.22,7.45,6.87,5.99,2.2,1.78,2.17,1.86,2.15,1.41,1.8,1.21,1.79,1.84
h_0,7.74,9.15,7.55,7.31,6.83,5.75,3.66,2.95,2.31,2.39,1.94,1.97,1.98,1.75,1.74,1.78
g_0,8.97,9.92,10.31,8.73,8.56,7.19,2.77,3.43,2.75,2.49,2.28,2.51,1.85,2.26,2.34,2.05
a_0,9.5,9.53,8.26,9.44,10.58,9.29,3.36,2.87,2.94,2.58,1.59,2.3,2.22,2.1,1.56,2.18
e_0,10.43,12.46,9.2,10.13,8.33,7.99,3.51,2.98,2.91,2.79,2.69,1.72,2.36,2.09,2.35,1.56
