,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.5,0.9,0.79,1.08,0.81,0.64,1.09,1.6,1.04,0.87,1.14,1.12,1.24,0.93,1.15,0.75
f_1,1.32,1.51,0.87,0.85,0.75,0.65,0.96,1.06,0.93,0.86,0.97,0.76,0.92,0.9,0.99,0.56
d_1,0.98,0.99,1.57,0.73,0.73,0.75,1.09,0.83,1.68,0.95,1.1,1.06,1.17,0.92,0.98,0.95
c_1,0.84,0.97,0.96,1.59,1.4,0.66,1.04,0.93,0.72,0.85,0.75,0.93,1.05,0.89,1.0,0.94
b_1,0.95,1.05,0.94,0.72,1.64,1.36,1.05,1.13,1.14,0.9,0.83,0.88,1.15,0.66,1.03,0.88
a_1,1.11,1.15,0.96,1.05,0.71,1.76,1.27,1.16,0.99,1.13,1.15,1.0,1.15,0.66,1.23,0.94
h_1,1.13,1.45,1.14,1.08,1.07,0.89,1.78,1.36,1.09,1.36,1.25,1.18,1.3,0.92,1.58,1.05
d_0,1.03,1.21,1.0,1.81,1.15,0.86,1.33,1.73,1.07,1.1,1.3,1.35,1.34,1.06,1.26,1.16
c_0,1.27,1.34,1.05,1.04,0.86,1.03,1.64,1.53,1.74,1.17,2.15,1.44,1.65,1.41,1.36,1.06
g_1,1.2,1.11,1.53,1.19,0.95,0.86,1.29,1.39,1.58,1.96,1.39,1.91,1.29,1.21,1.01,1.32
b_0,1.14,1.44,1.27,1.29,0.91,0.77,1.48,1.26,1.23,1.31,1.81,1.34,1.54,1.97,1.31,1.23
f_0,0.91,1.15,1.33,1.29,1.35,1.12,1.52,1.46,1.5,1.15,1.38,1.83,1.69,1.21,1.17,2.16
h_0,1.22,1.66,1.29,1.25,1.04,0.97,1.24,1.49,1.38,1.44,1.59,1.2,1.3,1.19,1.67,1.16
a_0,1.38,1.33,1.33,1.24,1.41,0.86,1.68,1.64,1.4,1.22,1.27,1.34,1.69,1.89,1.35,1.18
g_0,1.01,1.18,1.78,1.24,1.32,0.96,1.32,1.31,1.58,1.22,1.54,2.02,1.52,1.31,1.31,1.71
e_0,1.1,1.65,1.16,1.25,1.32,1.18,1.54,1.51,1.45,1.24,1.33,1.27,1.67,1.22,1.17,1.89
