,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.22,0.03,0.02,0.02,0.03,0.03,0.05,0.05,,0.12,0.05,0.05,0.09,0.05,0.07,0.05
f_1,0.02,2.25,0.05,0.03,0.02,0.02,0.05,0.04,0.06,0.06,0.06,,0.09,0.05,0.08,0.03
e_1,0.03,0.03,2.25,0.02,0.02,0.03,0.05,0.05,0.11,0.06,0.06,0.06,0.06,0.04,0.06,
c_1,0.02,0.02,0.03,2.47,0.04,0.02,0.07,0.07,0.08,,0.04,0.06,0.07,0.05,0.07,0.06
b_1,0.03,0.03,0.03,0.03,2.56,,0.05,0.04,0.06,0.05,,0.07,0.07,,0.07,0.05
a_1,0.03,0.04,0.03,0.02,,3.05,0.07,,0.07,0.06,0.05,0.06,0.07,,0.06,
h_1,0.11,0.14,0.1,0.12,0.1,0.06,2.69,0.3,0.25,0.22,0.17,0.18,,0.2,0.38,0.13
g_1,0.18,0.1,0.11,0.12,0.11,,0.18,2.89,0.21,0.25,0.24,0.26,0.29,,,
d_0,,0.14,0.14,0.24,0.14,0.1,0.35,0.18,1.95,0.29,0.33,0.3,0.43,0.21,0.35,0.31
c_0,0.16,0.12,0.1,,0.14,0.12,0.27,0.2,0.4,1.9,0.54,0.31,0.44,0.28,0.31,0.33
b_0,0.16,0.15,0.12,0.15,,0.08,0.29,0.29,0.33,0.3,2.23,0.17,0.44,0.35,0.32,0.19
f_0,0.16,,0.13,0.11,0.15,0.11,0.3,0.26,0.34,0.36,0.32,2.2,0.34,0.25,0.27,0.51
h_0,0.22,0.36,0.21,0.15,0.22,0.16,,0.42,0.47,0.59,0.38,0.4,,0.36,0.6,0.29
a_0,0.12,0.18,0.17,0.18,,,0.28,,0.38,0.31,0.34,0.27,0.46,2.52,0.33,
g_0,0.35,0.21,0.28,0.18,0.19,0.14,0.34,,0.37,0.5,0.36,0.74,0.54,0.24,,
e_0,0.18,0.13,,0.1,0.12,,0.31,,0.29,0.28,0.46,0.32,0.53,,,2.84
