,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,11275.69,5652.99,10180.39,11130.87,14157.81,40005.74,5476923.17,13758080.18,22397547.21,37067249.2,55984757.85,44201360.66,222229865.81,241277367.22,328833952.04,222302740.84
d_1,5451.64,14289.23,6212.06,8438.94,14455.16,43730.33,5886456.87,17646440.31,40273097.37,25054639.21,75076325.5,70849397.82,222251370.73,306370119.41,458126451.65,313291473.14
e_1,5550.79,5463.89,14753.33,13344.77,14463.25,42285.55,5742731.54,17661176.46,22503311.05,54479636.97,56774412.05,68723126.12,249414030.75,229524251.43,365543641.38,222107004.46
c_1,5155.48,6216.6,5457.73,27592.1,27401.17,43355.77,5097011.41,14346082.62,14617386.82,30972601.33,37043581.3,55466522.98,195928719.94,222790004.99,382689611.98,314256601.47
b_1,5180.12,6404.42,6161.43,10657.44,40858.72,81727.28,5682180.09,15092572.65,20200326.83,30892694.7,40670498.7,63323983.06,204370926.38,169610775.55,343871113.72,353364947.58
a_1,5984.74,6645.9,6694.3,10373.51,15221.33,149437.39,6256596.43,17654122.59,22354710.37,31691755.58,61496815.99,62005910.27,234498868.92,183584209.86,381996089.8,279679274.45
h_1,7110.23,6983.81,7260.59,11492.0,15319.39,43751.94,10289892.08,19080587.29,25588250.48,30799214.94,57137842.79,65557176.2,179093912.65,268383294.4,518021325.56,325952556.68
g_1,5547.71,10183.97,5704.61,10524.15,15625.56,41022.03,6247202.14,33511731.55,28237528.89,29252755.63,66599365.66,92975689.42,249959277.56,258377776.84,329740098.6,412029498.65
c_0,6129.75,7663.52,6762.31,10470.27,12136.81,45782.95,6052993.56,18650823.02,38821196.87,35798953.99,119506272.52,75600696.07,270425756.9,379942253.31,436990093.18,384871367.95
d_0,5552.92,5088.77,6353.85,20744.43,18669.9,45349.33,5432317.57,18314796.45,16877066.11,51166907.69,56326682.89,67100291.02,243809073.46,271967947.73,404360218.97,370396149.98
b_0,5507.18,7941.63,7102.9,13323.1,10958.07,33151.07,6866017.63,17493200.59,26369261.38,39509205.71,104644079.99,75391007.91,270118674.54,571797496.84,475822514.52,381717270.61
f_0,5350.89,7528.47,6273.88,12816.73,15066.68,49750.12,6612125.75,17796363.18,25294981.75,37935530.58,68035940.87,115919832.76,249835760.71,304586687.39,469995130.76,705286969.3
h_0,6588.92,7537.9,6761.02,12321.54,15818.17,46749.13,4892289.47,20357263.63,26633123.84,36730507.74,69894846.36,69624322.12,192569821.66,298128204.05,524669328.15,340590457.18
a_0,5806.93,7077.36,6838.47,13557.75,14404.15,37815.45,6540438.16,18348972.93,23680326.62,38980774.31,62688706.54,77863582.52,275832056.97,537434347.35,456787582.19,387653729.55
g_0,5716.83,9250.21,6220.04,10922.39,17542.74,45425.3,5869623.99,15779675.64,29294496.83,35648513.7,63366206.86,97720583.98,221137872.13,305008085.68,373142231.66,419054585.27
e_0,5929.65,7482.0,5913.5,12627.93,17961.1,47313.95,6528086.06,18681970.4,24697838.65,35356344.36,70241350.55,65955731.78,251008505.93,266372905.26,455369873.69,674919264.05
