,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.95,0.5,0.45,0.71,0.54,0.34,0.37,0.33,0.53,0.35,0.36,0.33,0.31,0.21,0.29,0.26
f_1,0.88,0.95,0.51,0.5,0.51,0.29,0.34,0.32,0.33,0.33,0.24,0.31,0.29,0.18,0.24,0.22
d_1,0.61,0.64,0.95,0.45,0.46,0.36,0.4,0.3,0.31,0.5,0.33,0.37,0.3,0.26,0.29,0.26
c_1,0.44,0.59,0.59,0.95,0.74,0.42,0.36,0.32,0.29,0.2,0.31,0.24,0.31,0.23,0.25,0.22
b_1,0.55,0.59,0.6,0.51,0.95,0.64,0.37,0.35,0.36,0.35,0.29,0.22,0.37,0.25,0.28,0.2
a_1,0.68,0.72,0.66,0.61,0.51,0.94,0.47,0.4,0.39,0.42,0.41,0.38,0.37,0.29,0.36,0.23
h_1,0.78,1.03,0.85,0.85,0.69,0.51,0.78,0.58,0.46,0.5,0.46,0.48,0.41,0.3,0.5,0.33
g_1,0.74,0.78,1.16,0.95,0.72,0.55,0.5,0.77,0.44,0.53,0.7,0.52,0.47,0.4,0.44,0.35
d_0,0.74,0.88,0.63,1.43,0.84,0.58,0.59,0.55,0.7,0.39,0.54,0.43,0.47,0.38,0.44,0.35
c_0,0.94,0.96,0.87,0.91,0.65,0.55,0.63,0.6,0.64,0.7,0.63,0.82,0.57,0.41,0.45,0.45
f_0,0.71,0.79,1.06,0.99,0.88,0.65,0.62,0.46,0.55,0.54,0.72,0.52,0.48,0.74,0.44,0.42
b_0,0.91,0.98,0.88,1.04,0.74,0.55,0.63,0.57,0.59,0.46,0.62,0.7,0.6,0.42,0.5,0.66
h_0,1.01,1.27,1.07,0.98,0.78,0.61,0.57,0.74,0.59,0.5,0.61,0.49,0.48,0.42,0.62,0.41
e_0,0.77,1.15,1.1,1.08,0.9,0.75,0.77,0.65,0.66,0.6,0.46,0.55,0.62,0.69,0.51,0.39
g_0,0.92,1.01,1.34,1.02,0.86,0.65,0.67,0.55,0.55,0.63,0.83,0.6,0.51,0.54,0.5,0.41
a_0,0.96,1.11,1.16,1.09,0.9,0.6,0.74,0.71,0.56,0.58,0.58,0.54,0.67,0.5,0.5,0.66
