,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,93.99,18.65,15.33,21.91,36.28,87.3,1742.22,3422.38,5808.53,4786.42,5407.06,,21465.69,15766.94,35232.39,24792.15
e_1,9.71,96.79,13.39,19.83,28.59,66.65,1725.01,3779.0,5127.73,7911.66,7230.23,8699.38,21655.51,21187.63,34333.27,
d_1,9.39,10.04,119.96,14.12,31.97,97.59,1642.72,3193.21,7643.59,,5303.12,8033.78,23932.8,13228.75,34017.24,32509.68
c_1,8.84,9.16,13.41,149.14,47.45,74.16,1620.8,3506.47,,3618.95,4254.03,7359.92,18703.85,20893.9,32468.03,24751.93
b_1,8.01,10.05,12.46,11.91,255.84,85.87,913.81,2736.53,2548.7,3049.07,,4702.88,16675.37,14796.81,29713.41,18959.69
a_1,4.66,6.48,7.81,9.8,17.8,566.66,1027.39,,1960.73,2272.46,3050.77,3602.43,13654.01,,19373.38,
h_1,6.36,4.7,6.11,7.15,21.25,34.17,2842.59,2247.62,1884.27,2461.03,2546.28,3144.21,,8444.82,25016.99,14361.76
g_1,4.33,3.3,6.49,6.69,9.64,,625.18,5310.63,1556.7,1717.17,2168.99,3558.86,6259.57,6460.64,,12485.26
c_0,4.08,4.05,4.44,,14.53,41.85,911.85,1598.02,4819.73,1212.42,4403.51,3100.48,8736.05,6998.05,15073.43,12619.11
d_0,4.29,4.21,,12.12,15.56,39.92,702.74,1127.69,2128.96,4774.47,2111.14,3227.07,7857.57,5543.65,18780.56,12272.11
b_0,3.81,3.67,5.63,6.99,,29.14,797.72,1477.7,1103.53,2040.5,5916.05,2458.69,6939.4,12517.06,16310.94,11177.15
f_0,,2.7,5.19,6.31,13.99,31.9,586.39,1059.93,1739.1,1660.79,2161.14,7414.93,6337.64,8475.76,9355.07,20686.05
h_0,4.0,3.44,3.85,6.08,9.71,23.18,,1391.03,1486.57,1427.53,2120.4,2848.53,,6448.76,18328.69,10037.26
a_0,3.48,2.4,4.33,3.85,7.42,,481.07,961.72,942.49,1432.86,1121.15,1904.75,4485.11,16139.89,8730.37,9439.81
g_0,2.44,2.7,4.88,4.51,6.19,29.89,318.21,,1463.7,1207.47,1574.93,3015.7,5018.14,5331.99,,
e_0,2.67,,2.65,3.88,9.78,,342.09,754.51,1018.34,1114.04,1348.37,1221.81,5265.62,4985.87,,23922.37
