,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.15,1.18,1.31,1.73,3.03,19.07,21.5,35.52,36.33,40.13,40.03,67.53,82.72,80.69,77.69
e_1,0.87,1.0,0.81,1.62,2.02,3.45,18.72,27.95,25.14,45.0,34.81,48.26,77.71,85.04,79.03,102.14
f_1,0.84,1.24,1.0,1.44,1.72,2.76,12.39,31.33,23.81,27.89,32.96,39.31,57.84,61.63,62.26,73.95
c_1,0.76,0.62,0.69,1.0,1.8,2.39,12.18,15.41,13.63,16.16,20.77,28.06,46.04,42.61,41.68,67.36
b_1,0.58,0.49,0.6,0.56,1.0,3.18,9.64,14.25,14.34,16.09,22.85,20.78,31.9,34.41,53.13,55.58
a_1,0.33,0.29,0.36,0.42,0.31,1.0,4.78,8.45,7.31,10.86,11.66,11.61,30.82,25.79,24.6,28.31
h_1,0.05,0.06,0.08,0.09,0.1,0.21,1.0,1.93,1.57,1.92,2.06,2.13,4.59,3.77,4.41,6.54
g_1,0.05,0.03,0.03,0.06,0.07,0.12,0.53,1.0,0.99,1.0,1.34,1.68,2.37,2.97,3.62,3.38
c_0,0.03,0.04,0.04,0.06,0.07,0.13,0.63,1.02,1.0,1.51,1.78,1.48,2.88,2.93,3.23,3.44
d_0,0.03,0.02,0.03,0.07,0.06,0.1,0.52,1.03,0.7,1.0,0.99,1.26,2.25,2.19,2.68,3.08
b_0,0.03,0.03,0.03,0.04,0.04,0.08,0.49,0.77,0.54,1.01,1.0,1.06,2.57,3.16,2.12,2.85
f_0,0.02,0.02,0.03,0.04,0.05,0.09,0.46,0.6,0.68,0.82,0.95,1.0,2.18,1.78,2.94,1.81
h_0,0.01,0.01,0.02,0.02,0.03,0.04,0.22,0.43,0.35,0.44,0.4,0.45,1.0,1.02,0.87,1.46
a_0,0.01,0.01,0.02,0.02,0.03,0.04,0.27,0.35,0.34,0.46,0.33,0.55,1.01,1.0,1.0,1.12
e_0,0.01,0.01,0.02,0.02,0.02,0.04,0.23,0.3,0.32,0.37,0.49,0.34,1.15,0.99,1.0,1.14
g_0,0.01,0.01,0.01,0.02,0.02,0.03,0.16,0.3,0.29,0.33,0.34,0.58,0.67,0.9,0.86,1.0
