,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,10479.5,1928.48,1906.42,1922.94,2561.83,10292.85,1311690.57,2941158.75,8642764.75,4916958.68,6111716.0,8646102.86,33028798.68,40813988.15,13565332.94,116463405.51
f_1,1970.92,16766.52,2143.45,1664.33,2804.09,6632.08,1146598.23,2966750.44,5388979.7,5572832.91,7222042.85,1655503.32,22695552.55,53928929.21,37761351.21,64021737.29
c_1,917.03,1526.53,19843.92,1914.24,5179.04,7670.92,1515217.98,3310268.91,5157453.25,4164242.06,1066536.98,15071098.38,33823575.45,51705968.38,44940202.89,99035269.19
d_1,905.39,1442.25,1480.82,21996.21,3141.33,8315.11,1832577.61,3923494.66,1626711.88,7242127.5,13085061.41,12278077.3,22738922.13,39726207.27,61243099.64,70434618.31
b_1,1031.49,1737.43,1900.59,1750.51,36316.55,16352.0,1628440.61,2492346.99,4224001.84,1120915.77,7474173.34,9788550.81,28042299.38,59837058.89,44085717.38,115073895.19
a_1,1097.14,1788.56,1802.42,1969.35,2649.29,134857.04,2082038.28,3384532.94,5059986.41,4817253.91,5583459.93,10784777.55,12635818.55,55007811.07,40955353.64,91616804.52
h_1,1704.18,3864.71,2308.32,4112.03,5288.91,10769.41,10364157.76,7729914.51,7166355.26,9275516.61,9743962.63,17745850.64,56789905.56,32963313.86,127043056.35,206529001.7
g_1,1619.17,2517.05,3103.47,5874.94,4731.47,11738.41,2358933.47,27887165.8,6117251.71,8940045.63,10043482.34,33271366.17,30378460.27,82153611.82,84948469.31,65013411.54
d_0,1882.02,2906.9,6417.14,1024.05,5800.56,12904.73,2063151.46,5082433.07,24180557.9,11192912.51,9234619.13,20262923.64,57409431.8,101010082.0,105953908.99,149130032.4
b_0,2211.77,2753.48,3425.27,4481.1,1541.21,10275.99,2862719.54,5904504.86,6868463.03,27209884.26,15267110.53,26141673.1,148130509.21,105001889.37,106280927.23,196984548.0
c_0,2222.51,2980.28,1282.69,3888.52,3838.07,15786.36,3225216.36,5512651.16,9259564.58,21087947.45,32302326.1,22217082.62,81748058.23,108986956.66,111440195.54,164242116.99
f_0,1645.86,1000.36,3922.4,3729.21,6896.71,11246.58,2682714.95,6441770.97,9827438.56,10382379.05,10527361.13,72056013.02,70559078.19,97269398.78,207172447.75,186152187.79
a_0,1833.07,2806.52,3801.94,4382.16,6087.23,4456.31,2271596.22,4524828.01,10063392.49,10027585.52,11650390.1,19670099.5,227159622.23,121964261.29,91471000.57,210217019.59
h_0,1980.89,4305.05,3480.17,3846.43,4973.23,11708.68,962658.16,7158792.93,6978549.89,8498990.17,8833113.95,16961549.74,63150374.98,21791966.4,69774525.44,172545266.14
e_0,889.42,3469.73,3553.92,4061.1,4869.57,13179.3,2886694.34,5575807.56,8962404.8,12047770.64,11746162.17,30351272.86,80617499.97,127952012.19,374783773.84,196328101.16
g_0,2121.78,2198.92,2920.32,6240.16,3696.26,13755.18,2148741.27,2402869.5,6012084.05,12181074.16,10883206.3,33721220.78,68759720.61,86649123.6,94113787.36,88132003.39
