,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,1.81,0.81,0.78,0.76,1.38,0.82,0.94,0.88,0.87,0.53,1.01,0.57,1.02,0.96,0.83,0.95
f_1,0.81,1.82,0.84,1.27,0.72,0.65,0.9,0.86,0.97,0.9,0.57,0.98,0.87,0.61,1.0,0.82
d_1,0.71,0.91,1.96,0.77,0.72,0.66,1.05,1.0,0.69,1.75,1.09,1.4,1.06,1.16,1.05,1.05
e_1,0.98,0.8,0.72,1.94,0.79,0.7,0.9,0.99,1.67,0.82,0.98,0.98,0.99,0.72,0.98,1.06
b_1,0.82,0.78,0.8,0.74,1.98,1.52,0.93,0.89,0.85,0.87,0.92,0.71,1.03,0.96,0.74,0.92
a_1,0.91,0.93,0.76,0.7,0.75,2.91,0.96,1.06,0.96,1.03,1.13,1.0,1.03,1.26,0.87,0.93
h_1,0.87,1.08,0.96,0.83,0.74,0.78,1.67,1.24,0.89,1.02,1.11,1.12,0.83,0.95,1.13,1.28
g_1,0.8,0.83,1.36,0.73,0.78,0.73,1.18,1.96,0.86,1.15,1.63,1.03,0.94,1.26,1.0,0.93
d_0,1.4,0.88,0.65,0.86,0.96,0.79,0.97,0.98,1.46,0.67,1.08,0.86,0.92,0.92,1.03,1.03
c_0,0.81,0.96,1.03,0.87,0.62,0.7,1.17,1.07,1.0,1.63,1.1,2.01,1.14,1.22,1.35,1.21
f_0,0.89,0.72,1.06,0.71,0.88,0.91,1.14,1.13,0.92,1.1,1.67,1.14,1.13,2.17,1.13,1.17
b_0,0.88,1.02,0.95,0.89,0.59,0.61,1.14,1.01,1.03,1.09,0.9,1.63,1.2,1.07,2.17,1.18
h_0,0.89,1.05,0.97,0.86,0.75,0.78,0.83,1.31,0.94,0.98,1.15,1.07,0.82,1.12,1.21,1.32
e_0,0.93,1.03,0.96,0.64,0.87,1.0,1.21,1.16,0.83,0.89,1.12,1.02,1.2,2.12,1.08,1.19
a_0,0.85,0.9,1.05,0.88,0.85,0.53,1.18,1.14,0.95,0.99,0.93,1.03,1.07,1.12,1.97,1.16
g_0,0.91,0.74,1.29,0.72,0.84,0.58,0.95,0.89,0.89,1.16,1.52,1.19,1.13,1.29,1.18,1.06
