,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10.36,0.61,1.78,0.73,0.6,0.49,0.92,1.05,0.87,0.83,0.99,0.59,1.0,0.92,0.61,0.71
d_1,0.86,12.65,0.69,0.45,0.64,0.69,1.06,0.58,1.04,2.77,1.24,0.93,1.08,1.14,1.11,1.0
e_1,0.74,0.6,10.36,1.1,0.56,0.62,0.88,2.61,0.89,0.89,1.12,1.19,1.0,0.92,0.85,0.93
c_1,0.64,0.8,0.53,11.73,1.79,0.75,0.75,0.72,0.83,0.48,0.69,0.84,0.91,0.97,0.81,1.08
b_1,0.59,0.87,0.56,0.57,13.25,2.06,0.87,0.72,0.83,0.83,0.47,0.99,0.93,0.64,0.89,1.06
a_1,0.84,0.74,0.66,0.55,0.85,17.05,1.12,0.91,1.03,0.85,0.91,1.04,0.95,0.69,1.01,0.86
h_1,1.16,0.77,0.83,1.0,0.6,0.72,3.18,0.9,1.51,0.82,1.08,1.08,0.7,0.93,1.09,1.76
d_0,0.75,0.55,0.63,2.66,0.83,0.73,1.0,1.76,0.87,0.54,1.1,1.16,1.04,1.06,1.15,1.08
g_1,0.63,1.72,0.6,0.95,0.68,0.66,1.15,0.71,3.73,1.02,1.1,1.67,1.04,1.3,1.31,0.99
c_0,0.82,0.73,0.94,0.7,0.48,0.83,1.13,1.27,1.12,2.16,3.73,1.5,1.2,1.38,1.39,1.21
b_0,0.77,0.84,0.74,1.15,0.49,0.54,1.15,1.08,1.19,1.01,2.46,1.2,1.48,3.25,1.63,1.29
f_0,0.6,0.74,0.48,1.04,0.92,0.91,1.3,1.01,1.16,1.17,1.1,2.44,1.06,1.13,3.2,1.22
h_0,1.56,0.81,0.88,0.85,0.65,0.56,0.74,0.97,1.48,0.91,1.07,0.96,0.77,1.1,1.17,1.56
a_0,0.68,0.88,0.68,0.9,0.77,0.61,1.48,1.07,1.0,1.15,1.3,1.37,1.37,2.81,1.34,1.5
e_0,0.97,0.73,0.47,1.05,0.87,0.73,1.43,0.98,1.37,1.08,1.12,1.06,1.82,1.36,3.24,1.16
g_0,0.74,1.38,0.56,0.83,0.62,0.85,0.94,0.94,0.72,1.17,1.31,1.98,0.97,1.17,1.66,0.87
