,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,16.6,1.23,0.47,0.51,0.39,0.41,1.04,0.76,0.94,0.86,0.99,0.3,0.8,0.85,0.43,1.09
e_1,0.64,16.91,0.41,0.75,0.44,0.49,0.75,0.76,1.79,0.74,1.15,1.12,0.96,1.05,0.49,0.76
d_1,0.54,0.43,20.13,0.34,0.52,0.64,0.95,0.9,0.35,2.24,1.13,1.07,1.03,0.96,1.17,0.99
c_1,0.39,0.48,0.43,19.96,1.38,0.56,0.86,0.7,1.03,0.24,0.49,0.91,0.84,0.49,0.86,0.9
b_1,0.57,0.37,0.61,0.47,21.79,1.22,0.8,1.0,0.69,0.9,0.34,0.92,1.01,1.08,1.21,0.87
a_1,0.62,0.49,0.72,0.62,0.44,33.85,0.86,0.88,0.79,0.88,0.89,0.65,1.03,0.48,0.67,0.78
h_1,1.13,0.7,0.69,0.61,0.64,0.44,5.33,1.43,1.14,0.68,1.14,0.98,0.85,1.25,1.3,1.91
g_1,0.57,0.56,1.31,0.74,0.56,0.58,0.93,6.57,0.83,1.14,1.21,2.23,1.4,0.97,1.58,0.73
d_0,0.78,0.73,0.22,1.68,0.68,0.56,1.1,1.23,3.33,0.75,1.12,1.28,1.12,1.0,1.23,1.21
c_0,0.88,0.55,0.91,0.37,0.43,0.57,1.09,1.45,1.07,4.11,3.34,1.35,1.61,1.41,1.74,1.49
b_0,0.66,0.67,0.81,0.78,0.34,0.43,1.16,1.2,1.34,1.44,4.67,1.52,1.5,3.5,1.33,1.42
f_0,0.36,0.49,0.91,0.63,0.77,0.74,1.17,0.94,1.17,1.43,1.36,4.98,1.5,1.55,4.5,1.5
h_0,0.89,0.55,1.04,0.77,0.59,0.69,0.67,1.67,1.07,1.06,1.23,1.35,0.56,1.16,1.44,1.85
a_0,0.74,0.51,1.1,0.66,0.71,0.27,1.14,1.42,0.93,1.13,1.25,1.64,1.55,4.83,1.46,1.25
e_0,0.79,0.26,0.96,0.93,0.72,0.55,1.5,1.0,1.24,1.04,1.3,1.18,1.59,1.37,5.31,1.39
g_0,0.58,0.76,1.5,0.65,0.48,0.58,0.99,1.15,0.89,1.24,1.24,2.21,1.16,1.36,1.46,0.48
