,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.36,0.88,0.91,0.78,0.59,0.38,0.46,0.37,0.32,0.36,0.38,0.3,0.28,0.3,0.22
e_1,0.73,1.0,0.99,1.01,0.93,0.84,0.45,0.46,0.66,0.44,0.46,0.44,0.33,0.36,0.34,0.33
d_1,1.14,1.01,1.0,0.97,0.93,0.71,0.55,0.39,0.44,0.53,0.46,0.37,0.39,0.33,0.25,0.32
c_1,1.11,0.99,1.04,1.0,1.21,0.79,0.55,0.44,0.31,0.39,0.34,0.42,0.36,0.4,0.31,0.3
b_1,1.26,1.06,1.07,0.82,1.0,1.21,0.65,0.51,0.51,0.52,0.44,0.39,0.45,0.31,0.41,0.38
a_1,1.69,1.2,1.43,1.26,0.83,1.0,0.77,0.66,0.59,0.61,0.61,0.54,0.6,0.53,0.41,0.42
h_1,2.66,2.08,1.89,1.77,1.56,1.27,1.0,1.05,0.9,0.86,0.8,0.68,0.73,0.62,0.87,0.65
g_1,2.12,2.26,2.62,2.31,1.92,1.53,0.96,1.0,1.05,0.9,0.9,1.08,0.69,0.78,0.7,0.68
d_0,2.55,1.53,2.4,3.23,1.91,1.69,1.15,0.91,1.0,0.81,0.97,0.78,0.81,0.78,0.78,0.84
c_0,3.16,2.31,1.89,2.48,1.77,1.59,1.13,1.13,1.08,1.0,1.39,0.72,1.01,0.96,0.84,0.87
b_0,3.0,2.07,2.12,2.96,2.21,1.57,1.29,1.16,1.01,0.71,1.0,0.84,0.86,1.1,0.76,0.78
f_0,2.78,2.18,2.8,2.5,2.43,2.0,1.41,0.86,1.24,1.37,1.16,1.0,0.97,0.82,0.73,1.24
h_0,3.48,2.97,2.63,2.66,2.24,1.64,1.4,1.46,1.2,0.99,1.14,0.99,1.0,0.91,1.06,0.72
a_0,3.79,2.76,3.01,2.5,2.91,1.98,1.59,1.26,1.36,1.03,0.92,1.2,1.08,1.0,0.96,0.93
g_0,3.18,2.92,3.87,3.31,2.67,2.34,1.1,1.46,1.36,1.2,1.33,1.41,0.95,1.01,1.0,0.94
e_0,4.73,2.95,2.98,3.34,2.74,2.48,1.6,1.56,1.29,1.13,1.37,0.81,1.37,1.12,1.05,1.0
