,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.45,1.54,1.44,2.04,1.85,1.48,3.45,5.05,3.3,3.48,3.65,3.84,4.88,4.47,3.44,4.43
f_1,2.34,2.48,1.51,1.59,1.55,1.52,2.86,3.61,3.08,3.63,3.65,3.04,3.93,3.64,3.18,4.21
d_1,1.65,1.98,2.62,1.46,1.46,1.63,3.33,3.1,2.87,5.37,4.34,3.56,4.76,3.84,3.95,4.15
c_1,1.4,1.59,1.73,2.66,2.5,1.84,3.09,2.99,3.16,2.45,2.95,3.52,4.52,3.4,3.66,4.42
b_1,1.41,1.66,1.77,1.57,2.75,2.89,3.29,3.16,3.24,3.66,3.02,3.8,4.47,3.18,3.68,4.95
a_1,1.81,1.81,1.79,1.7,1.37,3.23,3.69,3.72,3.68,3.53,3.85,3.89,4.9,3.34,4.82,5.07
h_1,1.64,2.18,1.84,1.63,1.73,1.6,4.34,3.41,4.03,3.51,3.51,3.58,3.95,3.59,3.8,5.41
d_0,1.42,1.69,1.61,2.6,2.05,1.59,3.29,4.33,3.13,2.61,3.48,3.65,4.87,3.79,4.11,4.9
g_1,1.58,1.73,2.32,1.5,1.57,1.57,3.21,3.34,4.86,4.15,3.58,4.71,4.51,4.03,4.92,4.52
c_0,1.72,1.92,1.72,1.79,1.49,1.64,3.73,4.48,3.12,4.62,5.69,4.01,4.78,4.83,4.72,5.35
b_0,1.74,1.83,1.77,1.94,1.58,1.54,3.61,3.8,3.75,3.47,4.87,3.51,5.12,6.06,4.42,5.29
f_0,1.6,1.62,1.72,1.76,1.91,1.87,3.82,4.0,3.42,3.66,3.93,5.0,5.26,3.75,6.98,4.71
h_0,1.76,2.06,1.84,1.73,1.75,1.71,2.84,3.43,3.78,3.46,3.48,3.19,3.89,3.21,3.76,5.47
a_0,1.75,1.82,1.78,1.82,1.78,1.35,3.64,3.79,3.23,3.34,3.63,3.85,5.68,5.32,4.27,4.39
e_0,1.68,2.07,1.84,1.69,1.89,1.53,3.34,3.57,3.07,3.69,3.6,3.16,5.05,3.61,5.46,5.32
g_0,1.66,1.75,2.32,1.73,1.67,1.74,3.05,3.29,2.58,3.69,3.92,4.64,4.33,4.27,4.02,4.34
