,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.67,2.14,2.1,1.79,2.04,1.75,0.75,0.71,0.68,1.03,0.76,1.45,0.59,0.42,0.6,0.66
c_1,1.95,0.66,1.85,2.41,3.43,2.03,0.79,0.46,1.14,0.87,0.65,0.6,0.77,0.58,0.67,0.66
e_1,1.51,2.3,0.65,2.17,1.86,2.15,0.98,0.94,0.81,0.98,0.79,0.82,0.61,0.7,1.8,0.68
b_1,2.54,1.29,2.15,0.64,2.11,2.49,1.24,0.87,0.95,1.07,1.29,0.72,0.79,0.62,0.7,0.6
d_1,2.33,1.92,2.75,2.11,0.64,1.62,0.87,2.05,1.0,0.62,0.8,0.85,0.88,0.74,0.75,0.45
a_1,2.78,2.62,2.8,1.65,2.53,0.58,1.28,0.99,0.82,1.15,1.08,0.92,1.92,0.78,0.89,0.78
h_1,2.92,3.28,2.24,2.61,2.92,2.23,0.59,1.03,0.95,1.64,1.03,0.89,0.96,1.72,0.75,0.77
d_0,3.11,3.15,1.75,3.04,4.04,3.29,1.3,0.68,1.05,1.22,0.77,0.86,0.99,0.7,1.04,0.72
c_0,2.88,7.89,2.88,2.97,1.67,3.23,1.35,1.35,0.65,1.23,1.16,1.01,1.12,0.99,0.94,0.85
g_1,2.97,3.03,3.02,2.58,3.25,2.71,1.04,1.21,1.11,0.56,1.03,1.04,1.1,0.85,0.9,1.46
b_0,2.74,4.9,2.94,5.51,2.53,2.8,1.35,1.55,0.7,1.47,0.63,0.98,1.35,0.89,1.04,1.08
f_0,5.44,4.4,3.5,2.99,2.35,2.6,1.52,1.17,1.06,1.05,1.12,0.62,1.04,0.95,1.2,0.63
a_0,3.65,4.09,3.46,4.0,2.94,3.59,1.77,1.47,1.02,1.54,0.7,1.38,0.59,1.14,1.27,0.94
h_0,3.63,3.44,3.25,3.99,3.17,3.65,1.83,1.3,1.19,1.49,1.19,1.25,0.99,1.61,1.13,0.96
e_0,4.04,4.12,8.35,3.15,3.44,3.27,2.19,1.22,1.22,1.61,1.1,0.85,0.97,1.04,0.59,0.92
g_0,3.83,3.64,3.43,3.9,3.95,3.33,1.4,1.43,1.31,2.31,0.98,1.56,1.4,1.05,1.03,1.57
