,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.66,1.32,0.83,0.82,0.62,0.69,0.91,0.9,1.01,0.92,0.94,0.69,0.89,0.96,0.87,0.76
e_1,0.86,1.75,1.01,0.76,0.83,0.76,0.94,0.89,1.54,0.94,0.96,0.9,1.02,0.98,0.97,0.76
c_1,0.8,0.71,1.86,0.73,1.42,0.8,0.97,0.91,0.86,0.6,0.64,1.0,0.9,0.9,0.93,0.97
d_1,0.87,0.82,0.63,2.02,0.69,0.76,1.0,1.08,0.68,1.7,1.27,1.15,1.06,1.05,1.06,1.13
b_1,0.89,0.68,0.89,0.77,2.19,1.42,0.99,0.9,0.87,0.84,0.7,0.95,0.97,0.7,1.0,0.85
a_1,0.93,0.76,0.83,0.79,0.79,3.02,1.0,0.9,0.93,0.88,0.91,0.88,1.07,0.74,1.02,0.74
h_1,1.11,0.83,0.76,1.0,0.74,0.75,1.75,1.08,0.91,0.94,1.14,0.89,0.91,0.99,1.25,0.98
g_1,0.77,0.8,0.79,1.28,0.76,0.78,1.05,1.96,0.95,1.08,1.21,1.52,1.12,1.22,0.96,1.36
d_0,0.81,0.76,1.46,0.67,0.97,0.65,1.02,1.11,1.41,0.69,0.92,1.15,1.01,1.04,0.93,1.18
c_0,0.89,0.89,0.78,1.04,0.6,0.85,0.97,1.08,1.08,1.55,2.0,1.2,1.26,1.49,1.27,1.37
b_0,0.93,0.9,0.83,1.1,0.53,0.8,1.06,1.14,0.92,1.13,1.78,1.13,1.13,2.11,1.22,1.35
f_0,0.8,0.67,0.87,1.08,0.82,0.7,1.1,1.21,1.05,1.23,1.29,1.94,1.3,1.27,1.2,2.42
h_0,1.03,0.82,0.88,1.01,0.83,0.72,0.86,1.35,0.93,1.04,1.12,1.07,0.8,1.08,1.2,1.12
a_0,0.93,0.9,0.92,1.03,0.72,0.5,1.1,1.16,0.87,0.91,1.14,1.24,1.09,2.09,1.07,1.39
g_0,0.86,0.75,0.8,1.32,0.77,0.74,1.01,0.95,0.73,1.01,1.21,1.61,1.07,1.14,0.86,1.42
e_0,0.83,0.63,0.9,0.98,0.99,0.82,1.08,1.17,1.0,0.97,1.4,1.2,1.22,1.14,1.08,2.56
