,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.27,1.47,1.28,1.49,3.02,21.12,27.01,31.48,37.57,55.86,53.95,82.16,80.48,105.01,133.9
c_1,0.79,1.0,0.88,1.67,1.58,2.56,17.3,18.32,20.99,28.44,30.26,40.84,69.29,75.66,95.82,111.67
e_1,0.68,1.16,1.0,1.17,0.99,2.49,22.12,33.08,26.29,27.67,43.6,52.64,66.55,84.98,87.31,113.98
b_1,0.79,0.6,0.86,1.0,1.08,3.17,18.83,19.07,25.61,27.63,35.39,42.01,59.55,62.33,94.72,87.09
d_1,0.68,0.63,1.0,0.93,1.0,2.02,15.0,21.71,29.8,17.78,37.37,47.17,72.6,70.39,82.35,67.19
a_1,0.33,0.39,0.4,0.32,0.49,1.0,8.43,8.7,9.31,11.05,18.55,18.74,33.53,27.32,41.96,42.25
h_1,0.05,0.06,0.04,0.05,0.07,0.12,1.0,1.2,1.34,1.9,2.21,2.34,3.74,4.56,4.53,5.6
d_0,0.04,0.06,0.03,0.05,0.05,0.11,0.82,1.0,0.93,1.15,1.35,1.84,2.89,3.01,4.69,4.07
c_0,0.03,0.04,0.04,0.04,0.03,0.1,0.78,1.09,1.0,1.02,2.14,1.81,3.32,3.02,3.97,3.96
g_1,0.03,0.04,0.04,0.04,0.06,0.09,0.53,0.82,0.99,1.0,1.51,2.12,2.84,2.46,3.49,4.1
b_0,0.02,0.03,0.02,0.03,0.03,0.06,0.44,0.72,0.47,0.66,1.0,1.04,2.55,1.82,2.37,2.86
f_0,0.02,0.02,0.02,0.02,0.02,0.06,0.44,0.53,0.53,0.44,0.93,1.0,1.45,1.74,2.77,1.66
a_0,0.01,0.02,0.01,0.02,0.01,0.03,0.27,0.34,0.3,0.38,0.38,0.68,1.0,1.22,1.34,1.29
h_0,0.01,0.01,0.01,0.02,0.01,0.04,0.23,0.32,0.33,0.41,0.56,0.57,0.87,1.0,1.42,1.36
e_0,0.01,0.01,0.01,0.01,0.01,0.02,0.24,0.22,0.25,0.27,0.38,0.36,0.71,0.72,1.0,0.99
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.24,0.25,0.24,0.33,0.61,0.74,0.74,1.03,1.0
