,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,0.89,0.14,0.21,0.23,0.15,0.07,0.16,0.35,0.17,0.13,0.14,0.16,0.17,0.18,0.05,0.1
d_1,0.15,0.9,0.18,0.14,0.15,0.1,0.16,0.07,0.34,0.14,0.19,0.17,0.18,0.13,0.15,0.11
f_1,0.33,0.16,0.89,0.2,0.11,0.13,0.14,0.15,0.15,0.11,0.13,0.04,0.18,0.12,0.08,0.09
c_1,0.18,0.15,0.19,0.89,0.31,0.08,0.19,0.15,0.06,0.12,0.11,0.15,0.15,0.12,0.1,0.08
b_1,0.19,0.2,0.21,0.14,0.88,0.2,0.14,0.16,0.14,0.13,0.06,0.13,0.15,0.12,0.07,0.07
a_1,0.21,0.19,0.2,0.19,0.1,0.87,0.19,0.18,0.18,0.13,0.17,0.16,0.14,0.14,0.09,0.04
h_1,0.23,0.23,0.28,0.23,0.17,0.11,0.55,0.2,0.18,0.19,0.18,0.17,0.12,0.2,0.12,0.13
d_0,0.21,0.09,0.27,0.44,0.19,0.12,0.21,0.44,0.14,0.14,0.19,0.15,0.2,0.15,0.1,0.14
c_0,0.25,0.29,0.24,0.15,0.17,0.13,0.19,0.22,0.43,0.14,0.38,0.21,0.2,0.17,0.14,0.14
g_1,0.16,0.39,0.18,0.24,0.17,0.09,0.2,0.19,0.2,0.55,0.19,0.28,0.15,0.12,0.13,0.11
b_0,0.21,0.26,0.25,0.24,0.1,0.09,0.27,0.2,0.21,0.15,0.46,0.21,0.23,0.19,0.11,0.26
f_0,0.23,0.29,0.1,0.22,0.21,0.12,0.24,0.23,0.23,0.15,0.22,0.41,0.22,0.23,0.23,0.12
h_0,0.26,0.26,0.32,0.22,0.16,0.11,0.12,0.22,0.21,0.22,0.18,0.18,0.11,0.23,0.1,0.1
g_0,0.18,0.4,0.17,0.25,0.17,0.13,0.23,0.19,0.2,0.12,0.16,0.28,0.2,0.09,0.11,0.11
e_0,0.11,0.26,0.23,0.26,0.19,0.16,0.24,0.19,0.25,0.17,0.24,0.22,0.29,0.23,0.4,0.12
a_0,0.2,0.25,0.2,0.27,0.21,0.08,0.23,0.24,0.22,0.18,0.21,0.2,0.24,0.18,0.13,0.35
