,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.44,1.77,1.47,1.67,1.63,1.5,0.37,0.35,0.32,0.53,0.33,0.54,0.27,0.17,0.27,0.29
c_1,1.68,0.42,1.31,1.71,2.87,1.76,0.42,0.19,0.67,0.51,0.34,0.3,0.39,0.23,0.35,0.27
e_1,1.1,1.99,0.42,1.84,1.68,1.81,0.54,0.41,0.38,0.56,0.37,0.48,0.32,0.31,0.77,0.3
b_1,2.23,0.95,1.83,0.41,1.96,1.94,0.62,0.38,0.54,0.66,0.7,0.39,0.44,0.28,0.35,0.28
d_1,1.84,1.92,2.55,1.81,0.4,1.44,0.49,0.8,0.36,0.29,0.36,0.38,0.46,0.3,0.32,0.16
a_1,2.41,2.61,2.7,1.22,1.96,0.33,0.74,0.59,0.48,0.78,0.59,0.43,1.02,0.35,0.51,0.37
h_1,3.11,3.32,2.45,2.69,2.99,2.66,0.31,0.63,0.67,1.03,0.62,0.57,0.54,0.82,0.55,0.39
d_0,3.41,3.04,1.77,3.46,5.19,3.7,0.91,0.38,0.65,0.99,0.54,0.56,0.57,0.37,0.7,0.44
c_0,3.26,7.83,3.24,3.39,1.64,3.27,1.01,1.1,0.34,0.87,0.58,0.59,0.73,0.48,0.65,0.47
g_1,3.04,3.26,3.47,3.1,3.16,3.45,0.7,0.79,0.71,0.28,0.67,0.7,0.68,0.34,0.62,0.73
b_0,3.01,6.57,3.38,6.08,2.62,3.24,0.97,1.12,0.39,0.95,0.34,0.61,0.67,0.47,0.66,0.49
f_0,6.93,4.43,3.78,3.59,2.47,3.09,1.16,0.74,0.6,0.65,0.77,0.33,0.71,0.55,0.63,0.33
a_0,4.29,4.99,3.93,5.34,3.65,6.96,1.18,0.9,0.6,1.28,0.38,0.73,0.3,0.59,0.68,0.51
h_0,3.59,4.32,3.91,4.53,3.74,4.31,1.53,0.81,0.74,1.08,0.78,0.77,0.68,0.95,0.81,0.54
e_0,4.95,4.73,9.04,3.61,3.45,3.96,1.4,0.87,0.82,1.1,0.8,0.45,0.75,0.6,0.32,0.44
g_0,4.38,4.35,4.25,4.68,4.0,4.13,1.03,1.02,0.89,1.94,0.72,0.87,0.99,0.53,0.72,0.96
