,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,5.81,2.23,3.44,1.92,2.15,2.05,7.69,9.89,9.59,8.24,11.63,5.59,10.94,16.08,9.27,15.21
c_1,2.17,6.36,2.0,4.05,2.16,2.03,7.01,10.25,4.57,8.1,6.42,10.04,9.04,15.24,10.5,15.29
e_1,2.51,2.82,6.47,2.23,1.7,1.87,8.99,18.62,9.73,7.62,11.35,10.74,11.15,16.81,6.02,16.15
b_1,2.2,2.16,2.02,6.88,2.23,4.2,8.64,9.06,9.07,8.2,6.74,10.59,8.07,14.36,13.13,14.2
d_1,2.11,1.55,2.29,2.06,7.15,2.47,8.12,6.96,18.96,8.3,14.72,14.27,12.65,17.04,13.34,18.13
a_1,2.38,2.23,2.38,2.01,2.56,10.29,8.56,9.11,9.45,7.72,11.46,12.11,6.41,15.19,12.44,16.76
h_1,3.09,2.9,2.28,2.28,2.57,2.15,19.25,10.64,10.02,11.54,11.49,11.02,11.77,13.17,11.0,22.55
d_0,2.6,4.29,2.2,2.78,1.56,1.78,8.88,16.84,7.26,7.98,9.09,11.71,11.19,20.3,14.45,16.38
c_0,2.54,1.95,2.53,1.87,2.77,2.49,9.82,11.53,20.23,8.93,24.16,14.49,18.25,20.53,15.54,18.49
g_1,2.32,2.42,2.21,2.22,4.09,1.95,7.25,9.12,11.98,22.42,11.53,17.11,12.46,18.45,12.39,13.21
b_0,2.9,2.68,2.35,1.57,2.68,1.96,9.76,12.54,12.75,9.31,22.28,12.13,29.01,19.38,13.74,19.82
f_0,2.35,2.78,2.1,2.59,2.49,2.68,9.92,13.0,13.19,8.32,12.42,23.47,14.23,19.08,25.62,18.52
a_0,3.04,2.8,2.7,2.28,2.36,1.83,9.7,12.95,9.97,9.99,13.57,12.21,27.82,22.45,14.45,17.0
h_0,3.5,2.52,2.15,2.46,2.61,2.36,5.94,11.57,9.6,11.82,12.17,11.19,13.5,13.32,14.6,21.98
e_0,3.03,2.38,1.5,2.54,2.86,2.54,10.63,9.02,11.6,9.07,12.24,12.44,14.09,20.08,30.04,21.9
g_0,2.16,2.3,1.91,2.36,3.83,2.75,10.1,11.09,12.62,6.27,13.21,19.41,12.62,20.13,18.5,15.71
