,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.09,2.21,2.14,2.4,2.31,1.93,0.52,0.67,0.49,0.51,0.51,0.57,0.3,0.46,0.34,0.45
d_1,2.8,1.08,2.7,2.47,2.19,2.1,0.68,0.44,0.46,0.77,0.44,0.48,0.32,0.49,0.25,0.44
e_1,1.64,2.68,1.09,2.87,2.57,2.29,0.7,0.82,0.59,0.55,0.5,0.61,0.38,0.5,0.42,0.66
c_1,2.61,3.61,2.3,1.09,2.89,2.75,0.83,0.84,0.74,0.33,0.51,0.55,0.38,0.48,0.42,0.56
b_1,3.26,3.12,3.26,1.78,1.11,2.94,0.93,0.86,0.81,0.58,0.99,0.67,0.46,0.72,0.44,0.55
a_1,4.37,4.18,4.17,3.87,2.14,1.12,1.2,1.2,0.92,0.85,1.28,0.78,0.6,1.22,0.59,0.8
h_1,9.51,8.03,8.63,9.56,8.76,7.39,1.49,2.36,1.83,2.05,1.62,1.6,1.55,1.53,1.26,1.51
g_1,12.55,10.29,10.15,12.56,11.07,9.67,2.77,1.59,2.26,2.21,2.28,2.28,1.41,2.05,1.87,2.15
c_0,13.09,7.63,12.14,19.56,13.08,11.46,3.6,3.0,1.72,3.45,2.5,2.62,1.61,2.49,1.51,2.58
d_0,10.94,16.14,8.44,15.1,14.49,13.54,4.28,4.3,2.64,1.94,2.57,2.72,1.82,2.39,1.91,2.94
b_0,14.91,11.47,14.24,21.95,19.0,12.89,4.46,3.58,1.72,3.05,1.84,2.68,2.0,3.04,1.96,2.74
f_0,17.48,13.78,13.52,16.76,13.92,14.73,4.62,2.9,2.85,3.16,2.61,1.86,2.02,2.41,1.5,2.94
h_0,18.17,18.26,16.48,20.61,19.53,16.16,7.32,4.78,3.63,3.78,3.6,3.8,3.24,2.97,2.89,3.43
a_0,21.87,17.97,21.1,23.11,28.4,24.34,5.59,5.8,3.25,4.35,2.33,4.2,2.68,2.11,2.56,4.77
g_0,22.69,18.16,22.18,20.76,23.63,20.43,5.2,6.77,4.06,4.72,3.86,4.01,2.12,4.12,3.34,3.72
e_0,28.1,21.79,28.83,20.34,18.38,21.45,6.27,4.92,4.13,3.87,4.23,2.4,3.03,3.99,2.51,2.15
