,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,2.36,0.76,0.66,0.61,0.8,0.74,1.76,2.79,1.41,1.14,1.9,1.64,2.07,1.71,1.97,2.21
f_1,0.71,2.43,1.23,0.69,0.67,0.66,1.48,1.55,1.42,1.92,1.73,0.7,1.82,1.57,1.69,1.57
e_1,0.86,0.69,2.47,0.84,0.82,0.83,1.38,1.55,1.17,2.58,1.75,1.88,2.04,1.57,1.94,0.89
c_1,0.89,0.79,0.72,2.68,1.33,0.67,1.09,0.51,1.34,1.37,1.22,1.5,2.2,1.49,2.11,2.01
b_1,0.81,0.76,0.73,0.57,2.79,1.36,1.61,1.72,1.33,1.51,1.09,2.04,2.23,1.38,2.11,1.62
a_1,0.78,0.99,0.69,0.83,0.5,3.28,1.49,1.77,1.49,1.54,2.23,1.87,2.3,0.73,2.36,1.29
h_1,0.96,1.22,1.03,1.21,0.82,0.87,3.85,2.08,2.77,1.93,2.02,2.3,1.87,2.27,3.39,1.92
c_0,0.89,1.05,1.1,0.91,0.96,0.97,2.32,3.63,2.24,2.46,3.77,2.36,3.06,3.26,3.69,2.4
g_1,1.4,0.91,0.96,1.18,0.91,0.94,1.67,1.89,4.25,1.59,2.04,2.93,2.59,2.13,1.98,2.13
d_0,0.45,1.02,0.91,1.9,1.19,0.99,1.92,1.88,2.11,3.67,2.39,2.01,2.75,1.92,1.98,1.76
b_0,0.86,1.19,0.97,1.42,0.41,0.99,2.22,1.99,2.11,1.9,3.91,2.71,3.06,4.26,3.1,2.36
f_0,1.19,0.85,0.76,1.28,0.94,0.86,1.93,2.44,2.45,2.55,2.14,4.11,2.86,2.77,2.61,4.05
h_0,1.06,1.38,0.99,0.97,0.94,0.79,1.26,1.89,2.32,2.32,1.95,2.28,1.62,2.47,3.46,2.31
a_0,1.12,1.05,1.06,1.14,1.11,,2.49,2.09,1.9,2.53,1.83,2.37,3.23,4.63,3.3,2.64
g_0,1.35,0.94,0.86,1.02,0.92,0.83,1.72,1.79,1.77,2.17,1.97,3.23,2.38,2.27,1.86,2.54
e_0,0.98,1.31,0.64,0.97,1.06,1.15,2.37,2.28,2.55,2.74,2.39,1.94,2.78,2.85,2.39,4.76
