,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.76,0.93,1.18,1.03,0.77,1.1,0.98,0.93,1.54,1.08,1.09,1.16,1.26,1.25,1.12
f_1,1.32,1.0,0.95,0.91,0.91,0.95,0.83,1.07,1.04,0.92,0.79,1.02,0.94,0.85,1.03,0.88
d_1,1.07,1.06,1.0,0.98,1.03,0.97,1.04,0.76,1.28,0.97,1.01,1.08,1.03,0.92,0.8,0.73
c_1,0.84,1.1,1.02,1.0,1.45,1.01,1.08,1.09,0.7,0.72,0.87,0.88,1.06,0.84,1.04,0.98
b_1,0.97,1.1,0.97,0.69,1.0,1.29,1.04,1.18,1.08,0.96,1.04,0.91,1.07,1.14,0.96,1.14
a_1,1.3,1.05,1.04,0.99,0.78,1.0,1.14,0.94,0.99,0.86,1.0,0.96,0.87,1.02,1.04,0.89
h_1,0.91,1.22,0.96,0.97,0.93,0.88,1.0,1.32,0.99,1.01,0.94,0.95,0.89,0.94,1.09,1.01
g_1,0.97,0.97,1.28,0.89,0.81,1.02,0.77,1.0,0.93,0.89,1.27,0.95,0.78,0.88,0.88,1.03
c_0,1.1,0.96,0.82,1.36,0.91,1.06,0.99,1.05,1.0,1.08,1.24,1.4,1.09,1.02,1.05,1.21
d_0,0.65,1.06,0.91,1.48,1.04,1.13,0.98,1.08,0.97,1.0,1.01,0.98,0.9,1.07,1.05,1.13
f_0,0.88,1.15,0.93,1.18,0.92,1.03,1.07,0.76,0.86,1.03,1.0,1.03,0.92,1.41,0.9,1.01
b_0,0.87,0.94,0.99,1.15,1.15,1.01,1.03,1.01,0.72,1.04,0.98,1.0,1.05,1.22,1.11,1.44
h_0,0.86,1.1,1.01,1.01,0.94,1.07,1.1,1.28,0.93,1.13,1.04,0.98,1.0,0.93,1.17,1.0
e_0,0.77,1.25,1.12,1.16,0.87,1.05,1.04,1.12,0.87,0.92,0.72,0.83,1.07,1.0,0.79,0.96
g_0,0.81,0.95,1.27,0.97,1.0,0.89,0.9,1.11,0.94,0.99,1.15,0.91,0.84,1.25,1.0,0.91
a_0,0.9,1.13,1.39,1.04,0.88,1.0,0.98,0.97,0.84,1.02,0.95,0.7,0.96,1.0,1.13,1.0
