,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.67,0.88,1.23,1.59,1.23,1.31,0.59,0.58,0.58,0.43,0.4,0.44,0.37,0.69,0.44,0.44
f_1,1.45,0.66,1.19,1.21,1.33,0.98,0.44,0.5,0.63,0.42,0.45,0.49,0.3,0.33,0.4,0.37
d_1,1.53,1.5,0.64,1.32,1.31,1.08,0.58,0.8,0.4,0.49,0.45,0.46,0.37,0.49,0.39,0.27
c_1,1.05,1.46,1.53,0.64,1.66,1.25,0.6,0.29,0.68,0.67,0.52,0.52,0.4,0.41,0.41,0.32
b_1,1.53,1.38,1.5,0.86,0.63,1.73,0.62,0.55,0.68,0.59,1.03,0.56,0.56,0.5,0.59,0.42
a_1,1.66,1.96,1.96,1.67,0.93,0.56,0.86,0.69,0.69,0.79,0.75,0.6,0.54,0.65,0.97,0.6
h_1,2.01,2.39,1.97,2.02,1.93,1.56,0.57,0.82,1.02,0.72,0.72,0.57,0.8,0.63,0.68,0.59
d_0,1.4,2.23,2.78,3.07,2.05,1.94,1.06,0.61,1.05,0.85,0.78,0.76,0.6,0.65,0.77,0.74
g_1,2.19,2.42,2.41,2.1,2.12,1.95,0.78,0.83,0.54,0.81,0.8,0.83,0.53,0.76,0.7,0.68
c_0,2.72,2.34,1.43,3.74,2.39,1.65,1.1,0.99,0.89,0.6,0.94,0.79,0.64,0.78,0.77,0.61
b_0,2.51,2.14,1.94,2.76,3.05,2.08,1.08,0.97,1.07,0.54,0.58,0.84,0.7,0.81,0.9,0.7
f_0,2.41,3.75,2.17,2.49,2.27,2.0,1.28,0.77,0.7,0.93,0.9,0.58,0.68,0.83,0.73,0.5
h_0,2.45,2.92,2.53,2.69,1.99,2.36,1.39,1.04,1.16,0.95,0.89,0.94,1.04,0.85,0.74,0.87
e_0,2.83,4.07,2.43,3.27,2.76,2.28,1.18,1.01,1.07,0.98,0.93,0.61,0.78,0.54,0.77,0.74
a_0,2.82,2.75,2.53,3.02,3.23,3.47,1.29,1.06,1.12,0.9,0.53,1.3,0.89,1.13,0.55,0.78
g_0,2.71,3.2,3.3,2.97,2.83,2.21,1.12,0.98,1.6,1.12,1.23,1.12,0.67,0.89,0.96,0.97
