,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,16.33,0.7,0.82,0.45,0.41,0.4,0.84,2.03,0.84,0.76,1.03,0.99,0.86,0.91,0.48,0.96
f_1,1.09,17.09,0.55,0.46,0.44,0.58,0.78,0.78,0.82,0.89,0.84,0.42,0.91,0.75,0.64,0.7
c_1,0.47,0.51,18.07,0.53,1.17,0.37,0.76,0.96,0.8,0.25,0.72,0.94,0.96,0.96,0.87,0.78
d_1,0.44,0.52,0.37,20.35,0.63,0.52,1.14,0.33,1.01,2.17,1.07,0.98,1.0,1.08,1.02,1.09
b_1,0.48,0.45,0.52,0.55,21.47,1.33,0.68,0.85,0.7,0.8,0.28,0.88,0.97,0.83,1.08,0.8
a_1,0.65,0.55,0.46,0.54,0.47,31.14,0.84,0.66,0.87,0.99,1.12,0.93,1.18,0.42,1.02,1.21
h_1,0.59,1.1,0.54,0.85,0.54,0.56,6.69,1.01,1.77,1.16,1.06,1.22,0.57,1.25,0.96,1.85
d_0,0.67,0.78,1.78,0.26,0.7,0.59,1.34,2.94,0.89,0.78,1.33,1.17,1.14,1.42,1.35,1.02
g_1,0.49,0.58,0.56,1.38,0.57,0.63,1.17,0.98,7.51,1.3,1.41,2.34,1.18,1.0,1.2,0.79
c_0,0.59,0.87,0.38,0.89,0.51,0.74,1.43,1.04,1.27,3.4,3.26,1.23,1.5,1.36,1.51,1.26
b_0,0.67,0.65,0.77,0.94,0.23,0.56,1.23,1.34,1.17,1.18,4.01,1.35,1.41,2.99,1.86,1.42
f_0,0.48,0.41,0.77,0.82,0.73,0.75,1.27,1.25,1.17,1.11,1.63,4.04,1.37,1.09,3.58,1.98
h_0,0.62,1.23,0.72,0.77,0.58,0.56,0.77,1.1,1.68,1.19,1.23,1.38,0.74,1.28,1.19,1.83
a_0,0.6,0.79,0.7,0.96,0.61,0.37,1.24,1.8,0.89,1.74,1.32,1.25,1.38,4.88,1.29,1.16
e_0,0.28,0.86,0.84,0.77,0.73,1.12,1.43,1.09,1.01,1.02,1.1,1.19,1.34,1.2,5.25,2.03
g_0,0.57,0.53,0.54,1.92,0.77,0.7,1.07,0.72,0.58,1.01,1.47,2.1,1.24,1.34,1.48,0.79
