,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.38,0.19,0.23,0.29,0.29,0.17,0.64,0.92,0.53,0.68,0.6,0.66,0.74,0.64,,0.7
d_1,0.29,2.44,0.31,0.24,0.28,0.23,0.53,,0.46,0.86,0.56,0.79,0.64,0.64,0.74,0.83
f_1,0.39,0.26,2.47,0.28,0.27,0.27,0.44,0.67,0.46,0.55,0.74,,0.76,0.77,0.61,0.78
c_1,0.28,0.29,0.25,2.55,0.48,0.28,0.59,0.56,0.52,,0.49,0.55,0.68,0.52,0.68,1.02
b_1,0.25,0.3,0.29,0.21,2.74,0.45,0.55,0.59,0.65,0.65,,0.65,0.81,0.49,0.66,0.65
a_1,0.4,0.28,0.28,0.33,0.2,3.3,0.47,0.43,0.59,0.63,,0.49,0.85,,,0.66
h_1,0.49,0.56,0.76,0.53,0.51,0.58,3.71,1.09,1.37,1.12,1.3,1.21,,1.15,1.15,1.14
d_0,0.59,,0.61,0.94,0.59,0.77,1.43,3.38,1.06,1.25,1.55,1.13,1.94,1.3,0.99,1.59
g_1,0.48,0.81,0.5,0.58,0.47,0.56,0.81,1.19,4.12,1.04,1.12,1.72,1.1,1.21,1.33,
c_0,0.51,0.64,0.76,,0.6,0.57,1.16,1.33,1.42,3.45,1.84,1.51,2.29,1.03,1.07,1.55
b_0,0.69,0.64,0.54,0.7,,,1.37,1.2,1.06,1.35,3.76,1.44,1.92,2.47,1.0,1.59
f_0,0.66,0.56,,0.62,0.63,0.69,1.17,1.43,1.07,1.6,1.44,3.83,1.51,1.53,2.27,1.42
h_0,0.76,0.91,0.83,0.73,0.66,0.88,,1.71,1.86,1.03,1.49,1.51,,1.69,1.74,3.01
a_0,0.64,0.58,0.5,0.79,0.53,,1.21,1.54,1.13,1.79,0.9,1.37,2.31,4.41,,
e_0,,0.53,0.67,0.45,0.53,,1.4,2.05,1.1,1.61,1.73,1.05,1.65,,4.79,1.8
g_0,0.62,0.94,0.72,0.62,0.82,0.76,1.65,1.53,,2.06,1.81,1.82,2.07,,1.8,
