,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,d_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.65,1.17,0.91,1.14,1.04,0.88,0.39,0.39,0.44,0.55,0.42,0.42,0.34,0.26,0.31,0.33
e_1,0.72,0.65,1.14,1.24,1.14,1.11,0.49,0.42,0.5,0.55,0.41,0.51,0.38,0.32,0.52,0.34
d_1,1.32,1.19,0.63,1.08,1.05,0.92,0.53,0.42,0.49,0.34,0.39,0.4,0.36,0.32,0.43,0.23
c_1,1.22,0.94,1.31,0.63,1.27,0.97,0.49,0.49,0.26,0.46,0.36,0.4,0.38,0.32,0.36,0.29
b_1,1.21,1.16,1.25,0.73,0.62,1.4,0.58,0.54,0.41,0.57,0.64,0.4,0.43,0.4,0.38,0.4
a_1,1.46,1.4,1.49,1.45,0.76,0.58,0.73,0.5,0.56,0.6,0.56,0.49,0.61,0.38,0.5,0.38
h_1,1.84,1.69,1.6,1.74,1.77,1.48,0.55,0.66,0.72,0.73,0.65,0.6,0.57,0.66,0.54,0.51
c_0,1.93,2.06,1.24,2.3,1.88,1.75,0.84,0.56,0.93,0.83,0.82,0.67,0.72,0.55,0.62,0.52
d_0,1.74,1.22,2.48,2.31,2.23,1.71,0.84,0.71,0.57,0.96,0.69,0.72,0.68,0.55,0.65,0.63
g_1,1.87,1.78,2.15,2.05,1.79,1.59,0.73,0.68,0.72,0.53,0.63,0.73,0.62,0.45,0.6,0.64
b_0,1.75,1.92,1.67,2.62,2.14,1.62,0.77,0.49,0.89,0.86,0.57,0.75,0.72,0.57,0.58,0.56
f_0,2.71,1.83,1.89,2.03,2.03,1.83,0.93,0.78,0.78,0.61,0.69,0.54,0.77,0.59,0.83,0.44
a_0,2.37,2.23,2.03,2.14,2.5,2.17,0.92,0.69,0.91,0.95,0.56,0.89,0.56,0.72,0.8,0.68
h_0,2.57,2.16,2.23,2.34,2.03,2.08,1.09,0.81,0.92,1.09,0.83,0.79,0.7,0.79,0.67,0.68
e_0,3.44,2.66,1.94,2.26,2.09,2.03,1.07,0.86,1.01,0.93,0.97,0.48,0.85,0.64,0.54,0.57
g_0,2.76,2.32,2.41,2.97,2.06,2.06,0.94,0.84,0.95,1.13,0.84,0.84,0.76,0.57,0.77,0.81
