,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,2.48,1.79,1.8,1.45,1.63,1.59,3.18,2.87,5.35,3.35,4.3,3.79,4.69,4.63,3.82,3.61
e_1,1.52,2.48,1.53,2.0,1.65,1.71,3.7,3.38,3.59,5.35,3.94,4.24,4.49,4.91,4.19,3.71
f_1,1.54,2.28,2.52,1.74,1.66,1.52,2.89,3.02,3.06,3.56,3.19,3.13,3.93,4.12,3.72,2.97
c_1,1.7,1.46,1.73,2.62,2.58,1.77,3.13,3.42,2.46,2.89,2.55,3.3,4.62,4.42,3.31,4.02
b_1,1.75,1.59,1.76,1.46,2.78,2.94,3.03,3.18,3.39,3.6,2.95,3.77,4.52,4.45,2.66,4.04
a_1,1.76,1.69,1.77,1.69,1.43,3.33,3.45,3.45,4.01,3.94,4.57,4.09,5.05,3.92,3.66,3.75
h_1,1.84,1.54,2.07,1.6,1.76,1.66,4.38,4.21,3.74,3.35,3.92,4.11,4.16,5.43,4.23,4.19
g_1,2.33,1.68,1.77,1.49,1.68,1.56,2.98,4.75,3.73,2.97,3.79,4.52,4.23,4.1,4.12,4.15
c_0,1.68,1.82,2.04,1.65,1.46,1.49,3.66,3.37,4.57,3.92,5.77,4.04,5.13,4.9,5.16,4.4
d_0,1.48,1.48,1.88,2.64,1.72,1.6,3.36,3.62,2.59,4.42,3.3,3.73,4.74,4.9,4.14,4.54
b_0,1.71,1.67,1.94,2.19,1.56,1.11,3.36,3.42,3.17,3.97,4.76,3.57,5.24,4.93,7.06,4.16
f_0,1.94,1.54,1.68,1.91,1.58,1.69,3.26,3.53,3.83,4.02,4.02,4.96,5.19,4.6,4.14,6.35
h_0,1.8,1.77,2.22,1.72,1.58,1.64,2.84,3.99,3.48,3.55,3.58,3.32,4.04,5.84,3.33,4.06
g_0,2.14,1.56,1.78,1.69,1.66,1.93,3.19,3.13,3.77,3.45,3.92,5.21,4.02,4.48,3.88,4.37
a_0,1.78,1.64,1.82,2.04,2.06,1.38,3.5,3.2,3.25,3.36,2.99,3.97,5.42,5.15,5.58,3.95
e_0,1.8,1.45,2.03,1.76,1.78,1.76,3.45,3.45,3.38,3.27,3.98,3.3,5.32,4.55,4.18,5.62
