,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.32,0.96,0.94,0.99,0.74,0.53,0.59,0.6,0.49,0.61,0.68,0.53,0.52,0.52,0.57
e_1,0.76,1.0,1.17,0.88,1.01,0.79,0.69,0.93,0.74,0.8,0.62,0.64,0.62,0.5,0.78,0.64
c_1,1.04,0.85,1.0,1.11,1.3,0.96,0.72,0.5,0.64,0.41,0.54,0.58,0.66,0.62,0.59,0.54
d_1,1.07,1.14,0.9,1.0,0.95,0.74,0.73,0.86,0.52,0.96,0.74,0.57,0.58,0.57,0.6,0.47
b_1,1.01,0.99,0.77,1.05,1.0,1.41,0.97,0.69,0.7,0.74,0.73,0.8,0.61,0.63,0.62,0.49
a_1,1.35,1.27,1.04,1.35,0.71,1.0,0.88,0.83,0.99,0.72,0.92,0.76,0.8,0.78,0.59,0.64
h_1,1.87,1.43,1.41,1.4,1.05,1.13,1.0,0.87,1.22,0.82,0.83,0.84,0.83,0.78,0.85,0.99
d_0,1.71,1.05,2.12,1.18,1.4,1.14,1.18,1.0,0.88,0.79,0.99,0.71,0.85,0.9,0.69,1.02
g_1,1.64,1.33,1.54,1.9,1.43,1.0,0.82,1.15,1.0,0.91,0.9,1.15,0.66,0.7,0.86,1.01
c_0,2.11,1.3,2.43,1.05,1.37,1.27,1.19,1.3,1.09,1.0,1.25,1.0,1.1,1.06,0.79,0.95
b_0,1.71,1.57,1.88,1.31,1.31,1.11,1.23,1.04,1.06,0.88,1.0,1.08,1.11,1.42,0.84,1.08
f_0,1.62,1.53,1.87,1.76,1.29,1.29,1.11,1.23,0.85,0.98,0.9,1.0,1.01,0.99,1.41,0.83
h_0,1.94,1.64,1.62,1.7,1.61,1.23,1.19,1.12,1.52,0.94,0.9,0.97,1.0,0.92,0.95,1.05
a_0,1.91,2.03,1.65,1.86,1.56,,1.31,1.08,1.51,0.97,0.7,0.96,1.08,1.0,1.14,0.96
e_0,1.91,1.49,1.67,1.64,1.69,1.49,1.28,1.39,1.18,1.14,1.15,0.72,1.05,0.99,1.0,1.13
g_0,1.8,1.45,1.88,2.07,1.74,1.5,1.01,0.94,0.95,1.03,0.95,1.19,0.99,0.98,0.94,1.0
