,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.16,0.41,0.45,0.41,0.43,0.4,0.09,0.14,0.1,0.08,0.14,0.09,0.05,0.1,0.09,0.08
e_1,0.27,0.16,0.51,0.49,0.48,0.41,0.13,0.16,0.1,0.1,0.12,0.1,0.07,0.14,0.11,0.07
c_1,0.49,0.35,0.16,0.6,0.44,0.37,0.13,0.13,0.05,0.12,0.09,0.09,0.07,0.09,0.09,0.07
d_1,0.47,0.55,0.48,0.15,0.48,0.45,0.12,0.08,0.15,0.08,0.09,0.08,0.06,0.07,0.07,0.04
b_1,0.49,0.49,0.25,0.5,0.13,0.56,0.14,0.15,0.09,0.15,0.1,0.18,0.07,0.09,0.09,0.06
a_1,0.51,0.41,0.55,0.53,0.24,0.09,0.14,0.14,0.09,0.11,0.1,0.14,0.08,0.09,0.13,0.07
h_1,0.4,0.42,0.4,0.37,0.34,0.38,0.06,0.13,0.08,0.09,0.09,0.09,0.07,0.08,0.07,0.06
g_1,0.46,0.44,0.4,0.4,0.45,0.31,0.09,0.05,0.08,0.08,0.08,0.07,0.04,0.07,0.07,0.07
d_0,0.37,0.25,0.46,0.51,0.47,0.33,0.12,0.14,0.06,0.09,0.09,0.08,0.06,0.09,0.08,0.06
c_0,0.42,0.41,0.72,0.22,0.48,0.47,0.11,0.1,0.11,0.05,0.09,0.08,0.06,0.08,0.08,0.05
f_0,0.56,0.37,0.43,0.38,0.41,0.3,0.12,0.07,0.08,0.09,0.05,0.08,0.06,0.06,0.08,0.04
b_0,0.38,0.41,0.56,0.31,0.62,0.37,0.11,0.11,0.08,0.04,0.07,0.05,0.06,0.07,0.08,0.05
h_0,0.4,0.41,0.39,0.37,0.4,0.38,0.14,0.12,0.08,0.07,0.08,0.07,0.07,0.07,0.06,0.05
e_0,0.55,0.54,0.38,0.37,0.39,0.34,0.11,0.09,0.09,0.07,0.04,0.09,0.05,0.04,0.08,0.04
a_0,0.4,0.38,0.42,0.42,0.45,0.5,0.12,0.1,0.08,0.07,0.08,0.04,0.05,0.07,0.04,0.05
g_0,0.42,0.41,0.41,0.32,0.38,0.45,0.09,0.14,0.09,0.08,0.08,0.09,0.05,0.07,0.08,0.09
